frame,time_s,source,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,face_detected,flow_available,bridge_age_frames,is_bridge,valid_patch_count,anchor_initialized
0,0.0,mesh,nan,nan,0.4831825035810471,0.09775249704718589,0.5824730360507965,0.3004868495464324,True,False,0,False,12,True
1,0.033333299999999996,mesh,-0.002321695398401331,-0.0007974102541252419,0.48237834870815277,0.09839618653059005,0.5751267683506012,0.29890198767185205,True,True,0,False,12,True
2,0.06666659999999999,mesh,-0.002421389685736762,-0.0010101204117139182,0.4806397265195847,0.09722999542951584,0.574692405462265,0.297437897324562,True,True,0,False,12,True
3,0.09999989999999999,mesh,-0.0024454575997811777,-0.001066825290520986,0.4797031652927399,0.09628710389137268,0.5728762459754944,0.2966166746616363,True,True,0,False,12,True
4,0.13333319999999999,mesh,-0.002373165554470486,-0.0012816250324249267,0.4784634900093078,0.09439048007130622,0.5717087709903717,0.2951346772909164,True,True,0,False,12,True
5,0.1666665,mesh,-0.002455464115849248,-0.0013169403981279444,0.47655947148799893,0.09219920858740807,0.5707113921642304,0.2934798836708069,True,True,0,False,12,True
6,0.19999979999999998,mesh,-0.0027035430625632958,-0.0014532253698066428,0.4751466697454453,0.09024081140756607,0.569349969625473,0.2930065143108368,True,True,0,False,12,True
7,0.2333331,mesh,-0.003189690907796224,-0.001650565034813351,0.47369008779525756,0.08782706171274185,0.5686496710777283,0.29168413341045374,True,True,0,False,12,True
8,0.26666639999999997,mesh,-0.003822694001374421,-0.0017214256856176587,0.47133289873600004,0.08597163155674933,0.5672587335109711,0.29039362907409666,True,True,0,False,12,True
9,0.2999997,mesh,-0.004448194856996889,-0.0021286338567733766,0.46931520462036136,0.08290157034993172,0.5655939674377441,0.2886172533035278,True,True,0,False,12,True
10,0.333333,mesh,-0.005049754955150463,-0.0025209678543938532,0.4665835529565811,0.07999910295009613,0.5636438047885896,0.2871295487880706,True,True,0,False,12,True
11,0.3666663,mesh,-0.005649891606083622,-0.0029012204872237313,0.46321316361427306,0.07632996201515198,0.5599223685264588,0.28464514791965484,True,True,0,False,12,True
12,0.39999959999999996,mesh,-0.0058443157761185255,-0.002846940248100846,0.4598927867412567,0.0725753451883793,0.5569653248786927,0.2828030282258987,True,True,0,False,12,True
13,0.43333289999999997,mesh,-0.005632142667417173,-0.00243656235160651,0.45644086182117466,0.07006281793117523,0.5538441753387452,0.28116902172565456,True,True,0,False,12,True
14,0.4666662,mesh,-0.0047404571815773296,-0.002288932270473904,0.4537385833263397,0.06729104295372963,0.5501673817634583,0.2789761859178542,True,True,0,False,12,True
15,0.4999995,mesh,-0.0030409442053900824,-0.003746624125374688,0.4516722601652145,0.06352615222334862,0.548101750612259,0.2750318014621734,True,True,0,False,12,True
16,0.5333327999999999,mesh,-0.000668228997124566,-0.006849555781594029,0.45093043863773347,0.0562471678853035,0.5467260813713074,0.2686347085237502,True,True,0,False,12,True
17,0.5666661,mesh,0.0019121664541739004,-0.008783556465749387,0.4515773546695709,0.04716035857796669,0.5473533260822295,0.2593726682662963,True,True,0,False,12,True
18,0.5999994,mesh,0.003950156105889215,-0.00841028889020284,0.4530744504928589,0.03892269372940064,0.5504981017112732,0.2531941205263137,True,True,0,False,12,True
19,0.6333327,mesh,0.00512468903153031,-0.004936653761952012,0.4552742999792099,0.0326053886115551,0.5538528752326964,0.24923851370811456,True,True,0,False,12,True
20,0.666666,mesh,0.005351403907493309,0.001052266193760766,0.457867956161499,0.03305507034063339,0.557622184753418,0.25218607902526846,True,True,0,False,12,True
21,0.6999993,mesh,0.00506445566813151,0.009572295071902099,0.4613312274217606,0.04279453232884407,0.5601429462432861,0.25898315429687496,True,True,0,False,12,True
22,0.7333326,mesh,0.004722457461886936,0.016169041560755836,0.46270573019981387,0.05849758952856064,0.5627678096294403,0.2729883897304535,True,True,0,False,12,True
