time_s,base,nlms,interpolated,observed
14.4333189,-1.9268431122920104,-1.9268431122920104,False,True
14.466652199999999,-1.561919192294353,-1.561919192294353,False,True
14.4999855,-1.0194065593891126,-1.0194065593891126,False,True
14.5333188,-0.47294436172335147,-0.47294436172335147,False,True
14.566652099999999,-0.01809626281463153,-0.01809626281463153,False,True
14.5999854,0.3481977439459012,0.3481977439459012,False,True
14.633318699999998,0.6709550555968441,0.6709550555968441,False,True
14.666652,0.9602296494790703,0.9602296494790703,False,True
14.6999853,1.1622962420012368,1.1622962420012368,False,True
14.733318599999999,1.1946390822129171,1.1946390822129171,False,True
14.7666519,1.0067768612003394,1.0067768612003394,False,True
14.7999852,0.6210280975171287,0.6210280975171287,False,True
14.833318499999999,0.1317804148834223,0.1317804148834223,False,True
14.8666518,-0.3313504896666091,-0.3313504896666091,False,True
14.899985099999999,-0.6545687609463349,-0.6545687609463349,True,False
14.9333184,-0.7791936708256727,-0.7791936708256727,True,False
14.9666517,-0.712389993286199,-0.712389993286199,True,False
14.999984999999999,-0.5114788802092682,-0.5114788802092682,False,True
15.0333183,-0.25901240298123096,-0.25901240298123096,False,True
15.066651599999998,-0.043107524541517644,-0.043107524541517644,False,True
15.099984899999999,0.05825192843608217,0.05825192843608217,False,True
15.1333182,-0.002353141285762979,-0.002353141285762979,False,True
15.166651499999999,-0.21920456908468453,-0.21920456908468453,False,True
15.1999848,-0.5220464294106737,-0.5220464294106737,False,True
15.2333181,-0.7849204342170246,-0.7849204342170246,False,True
15.266651399999999,-0.8599171661103375,-0.8599171661103375,False,True
15.2999847,-0.6372177128126588,-0.6372177128126588,False,True
15.333317999999998,-0.11192616471993143,-0.11192616471993143,False,True
15.3666513,0.58493384114963,0.58493384114963,True,False
15.3999846,1.223848334584868,1.223848334584868,True,False
15.433317899999999,1.5747863903751655,1.5747863903751655,True,False
15.4666512,1.5178275865993907,1.5178275865993907,False,True
15.4999845,1.1024511971817856,1.1024511971817856,False,True
15.533317799999999,0.5152552989571499,0.5152552989571499,False,True
15.5666511,-0.02439882200226749,-0.02439882200226749,False,True
15.599984399999999,-0.37208687675452534,-0.37208687675452534,False,True
15.6333177,-0.5072205065486718,-0.5072205065486718,False,True
15.666651,-0.5080370855514328,-0.5080370855514328,True,False
15.699984299999999,-0.47996269202383124,-0.47996269202383124,False,True
15.7333176,-0.48221955648334036,-0.48221955648334036,False,True
15.766650899999998,-0.49148011425898575,-0.49148011425898575,False,True
15.799984199999999,-0.4198897085268137,-0.4198897085268137,False,True
15.8333175,-0.1781490578518387,-0.1781490578518387,False,True
15.866650799999999,0.2511410079343377,0.2511410079343377,False,True
15.8999841,0.7758225876931097,0.7758225876931097,False,True
15.9333174,1.2183145707022294,1.2183145707022294,False,True
15.966650699999999,1.389488432145093,1.389488432145093,False,True
15.999984,1.1760484919591239,1.1760484919591239,False,True
16.0333173,0.5999479204828941,0.5999479204828941,False,True
16.0666506,-0.1842011690229453,-0.1842011690229453,False,True
