record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,18,baseline/forehead_0/pos,forehead_0,forehead,baseline,pos,eligible,1.0,0.9999999898489872,0.9366666666666666,0.0,False,77.0,0.2769136394991843,17.568470870234776,0.11238199258167546,,,,,,,,,,,
channel,18,baseline/forehead_1/chrom,forehead_1,forehead,baseline,chrom,eligible,1.0,0.9999999886106313,0.8433333333333334,0.0,False,86.0,0.191163675469992,8.989777017123515,0.10928958910656754,,,,,,,,,,,
channel,18,baseline/forehead_1/pos,forehead_1,forehead,baseline,pos,eligible,1.0,0.9999999886106313,0.8433333333333334,0.0,False,84.0,0.23535448707823478,24.94675391067838,0.07644119025359218,,,,,,,,,,,
channel,18,baseline/forehead_2/chrom,forehead_2,forehead,baseline,chrom,eligible,1.0,0.9999999907843194,0.9633333333333334,0.0,False,134.0,0.2292952790288978,20.88494177206678,0.0836718327621914,,,,,,,,,,,
channel,18,baseline/forehead_2/pos,forehead_2,forehead,baseline,pos,eligible,1.0,0.9999999907843194,0.9633333333333334,0.0,False,131.0,0.24193771617854906,22.702052707164228,0.08366227262236892,,,,,,,,,,,
channel,18,baseline/forehead_3/chrom,forehead_3,forehead,baseline,chrom,eligible,1.0,0.9999999877631319,0.5133333333333333,0.0,False,95.0,0.17689063165338248,24.4340079409849,0.05826116037738363,,,,,,,,,,,
channel,18,baseline/forehead_3/pos,forehead_3,forehead,baseline,pos,eligible,1.0,0.9999999877631319,0.5133333333333333,0.0,True,129.0,0.17539012061200338,7.518616368300755,0.10782943870766128,,,,,,,,,,,
channel,18,baseline/left_cheek_0/chrom,left_cheek_0,left_cheek,baseline,chrom,eligible,1.0,0.9999999883207312,0.13,0.0,True,78.0,0.18497757462699257,8.434684478892862,0.10862565056077511,,,,,,,,,,,
channel,18,baseline/left_cheek_0/pos,left_cheek_0,left_cheek,baseline,pos,eligible,1.0,0.9999999883207312,0.13,0.0,False,78.0,0.16171774858391924,8.30694210025645,0.09556401812868336,,,,,,,,,,,
channel,18,baseline/left_cheek_1/chrom,left_cheek_1,left_cheek,baseline,chrom,eligible,1.0,0.9999999878777677,0.6933333333333334,0.0,False,156.0,0.367954073826229,12.154609438499278,0.18279943201553497,,,,,,,,,,,
