window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,status,V28_bpm,V28_accepted,error_bpm,abs_error_bpm,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,76.5,True,,False,gap_or_filter_edge,,False,,,False,False,False
1,5.999994,0.999999,10.999989,77.1,True,,False,gap_or_filter_edge,,False,,,False,False,False
2,6.999993,1.999998,11.999988,77.8,True,,False,gap_or_filter_edge,75.0,True,,,False,False,True
3,7.999992,2.999997,12.999987,78.4,True,162.0,True,candidate_only,76.0,True,83.6,83.6,True,False,False
4,8.999991,3.999996,13.999986,79.0,True,162.0,True,candidate_only,77.0,True,83.0,83.0,True,False,False
5,9.99999,4.999995,14.999985,79.5,True,162.0,True,candidate_only,77.0,True,82.5,82.5,True,False,False
6,10.999989,5.999994,15.999984,79.8,True,162.0,True,candidate_only,77.0,True,82.2,82.2,True,False,False
7,11.999988,6.999993,16.999983,80.1,True,162.0,True,candidate_only,76.0,True,81.9,81.9,True,False,False
8,12.999987,7.999992,17.999982,80.2,True,126.0,True,candidate_only,76.0,True,45.8,45.8,True,False,False
9,13.999986,8.999991,18.999981,80.1,True,126.0,True,candidate_only,76.0,True,45.900000000000006,45.900000000000006,True,False,False
10,14.999985,9.99999,19.99998,79.9,True,126.0,True,candidate_only,77.0,True,46.099999999999994,46.099999999999994,True,False,False
11,15.999984,10.999989,20.999979,79.6,True,126.0,True,candidate_only,78.0,True,46.400000000000006,46.400000000000006,True,False,False
12,16.999983,11.999988,21.999978,79.2,True,74.0,True,candidate_only,79.0,True,-5.200000000000003,5.200000000000003,True,False,False
13,17.999982,12.999987,22.999977,78.8,True,73.0,True,candidate_only,80.0,True,-5.799999999999997,5.799999999999997,True,False,False
14,18.999981,13.999986,23.999976,78.4,True,73.0,True,candidate_only,80.0,True,-5.400000000000006,5.400000000000006,True,False,False
15,19.99998,14.999985,24.999975,78.0,True,73.0,True,candidate_only,80.0,True,-5.0,5.0,True,False,False
16,20.999979,15.999984,25.999974,77.7,True,74.0,True,candidate_only,79.0,True,-3.700000000000003,3.700000000000003,True,False,False
17,21.999978,16.999983,26.999973,77.5,True,75.0,True,candidate_only,78.0,True,-2.5,2.5,True,False,False
18,22.999977,17.999982,27.999972,77.4,True,76.0,True,candidate_only,78.0,True,-1.4000000000000057,1.4000000000000057,True,False,False
19,23.999976,18.999981,28.999971,77.5,True,77.0,True,candidate_only,78.0,True,-0.5,0.5,True,False,False
20,24.999975,19.99998,29.99997,77.5,True,78.0,True,candidate_only,79.0,True,0.5,0.5,True,False,False
21,25.999974,20.999979,30.999969,77.6,True,79.0,True,candidate_only,80.0,True,1.4000000000000057,1.4000000000000057,True,False,False
22,26.999973,21.999978,31.999968,77.7,True,80.0,True,candidate_only,81.0,True,2.299999999999997,2.299999999999997,True,False,False
23,27.999972,22.999977,32.999967,77.9,True,81.0,True,candidate_only,81.0,True,3.0999999999999943,3.0999999999999943,True,False,False
24,28.999971,23.999976,33.999966,78.1,True,81.0,True,candidate_only,81.0,True,2.9000000000000057,2.9000000000000057,True,False,False
25,29.99997,24.999975,34.999965,78.4,True,81.0,True,candidate_only,81.0,True,2.5999999999999943,2.5999999999999943,True,False,False
26,30.999969,25.999974,35.999964,78.7,True,81.0,True,candidate_only,81.0,True,2.299999999999997,2.299999999999997,True,False,False
27,31.999968,26.999973,36.999963,79.0,True,81.0,True,candidate_only,81.0,True,2.0,2.0,True,False,False
28,32.999967,27.999972,37.999962,79.3,True,81.0,True,candidate_only,81.0,True,1.7000000000000028,1.7000000000000028,True,False,False
29,33.999966,28.999971,38.999961,79.5,True,80.0,True,candidate_only,82.0,True,0.5,0.5,True,False,False
30,34.999965,29.99997,39.99996,79.8,True,80.0,True,candidate_only,84.0,True,0.20000000000000284,0.20000000000000284,True,False,False
31,35.999964,30.999969,40.999959,80.0,True,79.0,True,candidate_only,86.0,True,-1.0,1.0,True,False,False
32,36.999963,31.999968,41.999958,80.2,True,78.0,True,candidate_only,88.0,True,-2.200000000000003,2.200000000000003,True,False,False
33,37.999962,32.999967,42.999957,80.4,True,78.0,True,candidate_only,90.0,True,-2.4000000000000057,2.4000000000000057,True,False,False
34,38.999961,33.999966,43.999956,80.7,True,78.0,True,candidate_only,91.0,True,-2.700000000000003,2.700000000000003,True,False,False
35,39.99996,34.999965,44.999955,81.0,True,,False,gap_or_filter_edge,,False,,,False,False,False
36,40.999959,35.999964,45.999954,81.2,True,,False,gap_or_filter_edge,,False,,,False,False,False
