stage,case,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
stage1_motion,data2,-5,37,33,37,33,28,32,89.1891891891892,89.1891891891892,3.0,4.051112828781142,2.012121212121212,3.8241572431135484,84.84848484848484,96.96969696969697,75.67567567567568,86.48648648648648,9.28,10.5,-4.98626552622027,9.010507950462694
stage1_motion,data2,-2,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.0909090909090904,3.8970073988467955,1.5696969696969696,3.9114946457685864,87.87878787878788,100.0,78.37837837837837,89.1891891891892,8.520000000000001,9.799999999999997,-5.529806965171446,8.669200904565384
stage1_motion,data2,-1,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.1484848484848476,3.8630730427126703,1.4515151515151512,3.9775044175288246,87.87878787878788,100.0,78.37837837837837,89.1891891891892,8.319999999999999,9.599999999999994,-5.674089246029172,8.577119549059475
stage1_motion,data2,0,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.16060606060606,3.8200031730908592,1.3424242424242419,3.9860673825946846,87.87878787878788,100.0,78.37837837837837,89.1891891891892,8.119999999999996,9.299999999999997,-5.775916628704066,8.46076511355255
stage1_motion,data2,1,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.1424242424242417,3.7582636222789705,1.245454545454545,3.9568867490216784,87.87878787878788,100.0,78.37837837837837,89.1891891891892,7.879999999999995,9.0,-5.812262101785357,8.303171192694446
stage1_motion,data2,2,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.0818181818181807,3.679550367788284,1.1606060606060602,3.8747860672855428,87.87878787878788,100.0,78.37837837837837,89.1891891891892,7.579999999999997,8.799999999999997,-5.78926958467339,8.11048170588551
stage1_motion,data2,5,37,33,37,33,29,33,89.1891891891892,89.1891891891892,2.7242424242424237,3.4313615991676576,1.0090909090909086,3.417180791649136,87.87878787878788,100.0,78.37837837837837,89.1891891891892,7.239999999999999,9.0,-5.518651433473562,7.53683325165538
