window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_bpm,V28_accepted,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,,False,gap_or_filter_edge,115.9,True,ok,10,1.0200291000000001,,,,False,False,False,False
1,5.999994,0.999999,10.999989,,False,gap_or_filter_edge,116.5,True,ok,10,1.0197674,,,,False,False,False,False
2,6.999993,1.999998,11.999988,,False,gap_or_filter_edge,116.9,True,ok,10,1.0205307000000001,,,,False,False,False,False
3,7.999992,2.999997,12.999987,,False,gap_or_filter_edge,117.1,True,ok,10,1.0205307000000001,,,,False,False,False,False
4,8.999991,3.999996,13.999986,,False,gap_or_filter_edge,117.1,True,ok,10,1.0517851,,,,False,False,False,False
5,9.99999,4.999995,14.999985,,False,gap_or_filter_edge,116.8,True,ok,10,1.0517851,,,,False,False,False,False
6,10.999989,5.999994,15.999984,,False,gap_or_filter_edge,116.2,True,ok,10,1.0517851,,,,False,False,False,False
7,11.999988,6.999993,16.999983,,False,gap_or_filter_edge,115.5,True,ok,10,1.0517851,,,,False,False,False,False
8,12.999987,7.999992,17.999982,,False,gap_or_filter_edge,114.6,True,ok,10,1.0517851,,,,False,False,False,False
9,13.999986,8.999991,18.999981,92.0,True,candidate_only,113.6,True,ok,10,1.0517851,-21.599999999999994,21.599999999999994,93.0,True,True,False,False
10,14.999985,9.99999,19.99998,93.0,True,candidate_only,112.5,True,ok,10,1.0517851,-19.5,19.5,93.0,True,True,False,False
11,15.999984,10.999989,20.999979,94.0,True,candidate_only,111.5,True,ok,10,1.0517851,-17.5,17.5,93.0,True,True,False,False
12,16.999983,11.999988,21.999978,94.0,True,candidate_only,110.5,True,ok,10,1.0517851,-16.5,16.5,93.0,True,True,False,False
13,17.999982,12.999987,22.999977,94.0,True,candidate_only,109.6,True,ok,10,1.0226290999999996,-15.599999999999994,15.599999999999994,92.0,True,True,False,False
14,18.999981,13.999986,23.999976,93.0,True,candidate_only,108.7,True,ok,10,1.0226290999999996,-15.700000000000003,15.700000000000003,91.0,True,True,False,False
15,19.99998,14.999985,24.999975,92.0,True,candidate_only,107.9,True,ok,10,1.0226290999999996,-15.900000000000006,15.900000000000006,90.0,True,True,False,False
16,20.999979,15.999984,25.999974,91.0,True,candidate_only,107.3,True,ok,10,1.0226290999999996,-16.299999999999997,16.299999999999997,88.0,True,True,False,False
17,21.999978,16.999983,26.999973,91.0,True,candidate_only,106.7,True,ok,10,1.021193799999999,-15.700000000000003,15.700000000000003,83.0,True,True,False,False
18,22.999977,17.999982,27.999972,91.0,True,candidate_only,106.4,True,ok,10,1.021193799999999,-15.400000000000006,15.400000000000006,83.0,True,True,False,False
19,23.999976,18.999981,28.999971,92.0,True,candidate_only,106.3,True,ok,10,1.021193799999999,-14.299999999999997,14.299999999999997,90.0,True,True,False,False
20,24.999975,19.99998,29.99997,92.0,True,candidate_only,106.4,True,ok,10,1.021193799999999,-14.400000000000006,14.400000000000006,92.0,True,True,False,False
21,25.999974,20.999979,30.999969,92.0,True,candidate_only,106.6,True,ok,10,1.021193799999999,-14.599999999999994,14.599999999999994,92.0,True,True,False,False
22,26.999973,21.999978,31.999968,92.0,True,candidate_only,107.0,True,ok,10,1.021193799999999,-15.0,15.0,91.0,True,True,False,False
23,27.999972,22.999977,32.999967,91.0,True,candidate_only,107.7,True,ok,10,1.021193799999999,-16.700000000000003,16.700000000000003,90.0,True,True,False,False
24,28.999971,23.999976,33.999966,90.0,True,candidate_only,108.6,True,ok,10,1.0486555999999965,-18.599999999999994,18.599999999999994,89.0,True,True,False,False
25,29.99997,24.999975,34.999965,77.0,True,candidate_only,109.7,True,ok,10,1.0486555999999965,-32.7,32.7,77.0,True,True,False,False
26,30.999969,25.999974,35.999964,78.0,True,candidate_only,110.8,True,ok,10,1.0486555999999965,-32.8,32.8,79.0,True,True,False,False
27,31.999968,26.999973,36.999963,80.0,True,candidate_only,112.0,True,ok,10,1.0486555999999965,-32.0,32.0,81.0,True,True,False,False
28,32.999967,27.999972,37.999962,81.0,True,candidate_only,113.1,True,ok,10,1.0491720999999998,-32.099999999999994,32.099999999999994,83.0,True,True,False,False
29,33.999966,28.999971,38.999961,82.0,True,candidate_only,114.1,True,ok,10,1.0491720999999998,-32.099999999999994,32.099999999999994,86.0,True,True,False,False
30,34.999965,29.99997,39.99996,83.0,True,candidate_only,115.1,True,ok,10,1.0491720999999998,-32.099999999999994,32.099999999999994,89.0,True,True,False,False
31,35.999964,30.999969,40.999959,99.0,True,candidate_only,116.0,True,ok,10,1.0491720999999998,-17.0,17.0,91.0,True,True,False,False
32,36.999963,31.999968,41.999958,99.0,True,candidate_only,116.9,True,ok,10,1.0491720999999998,-17.900000000000006,17.900000000000006,93.0,True,True,False,False
33,37.999962,32.999967,42.999957,98.0,True,candidate_only,117.6,True,ok,10,1.0491720999999998,-19.599999999999994,19.599999999999994,94.0,True,True,False,False
34,38.999961,33.999966,43.999956,97.0,True,candidate_only,118.3,True,ok,10,1.0507272000000043,-21.299999999999997,21.299999999999997,94.0,True,True,False,False
35,39.99996,34.999965,44.999955,96.0,True,candidate_only,118.9,True,ok,10,1.0507272000000043,-22.900000000000006,22.900000000000006,94.0,True,True,False,False
36,40.999959,35.999964,45.999954,95.0,True,candidate_only,119.5,True,ok,10,1.0507272000000043,-24.5,24.5,94.0,True,True,False,False
37,41.999958,36.999963,46.999953,95.0,True,candidate_only,120.0,True,ok,10,1.0507272000000043,-25.0,25.0,94.0,True,True,False,False
38,42.999957,37.999962,47.999952,95.0,True,candidate_only,120.4,True,ok,10,1.0507272000000043,-25.400000000000006,25.400000000000006,94.0,True,True,False,False
39,43.999956,38.999961,48.999951,95.0,True,candidate_only,120.9,True,ok,10,1.0507272000000043,-25.900000000000006,25.900000000000006,94.0,True,True,False,False
40,44.999955,39.99996,49.99995,,False,gap_or_filter_edge,121.3,True,ok,10,1.0507272000000043,,,,False,False,False,False
41,45.999954,40.999959,50.999949,,False,gap_or_filter_edge,121.7,True,ok,10,1.0507272000000043,,,,False,False,False,False
42,46.999953,41.999958,51.999948,,False,gap_or_filter_edge,122.0,True,ok,10,1.0507272000000043,,,,False,False,False,False
43,47.999952,42.999957,52.999947,,False,gap_or_filter_edge,122.3,True,ok,10,1.0504734999999954,,,,False,False,False,False
44,48.999951,43.999956,53.999946,,False,gap_or_filter_edge,122.5,True,ok,10,1.0504734999999954,,,,False,False,False,False
45,49.99995,44.999955,54.999945,,False,gap_or_filter_edge,122.7,True,ok,10,1.0501312000000027,,,,False,False,False,False
46,50.999949,45.999954,55.999944,,False,gap_or_filter_edge,122.8,True,ok,10,1.0501312000000027,,,,False,False,False,False
47,51.999948,46.999953,56.999943,,False,gap_or_filter_edge,122.9,True,ok,10,1.0504397999999995,,,,False,False,False,False
48,52.999947,47.999952,57.999942,,False,gap_or_filter_edge,123.0,True,ok,10,1.0504397999999995,,,,False,False,False,False
49,53.999946,48.999951,58.999941,,False,gap_or_filter_edge,123.0,True,ok,10,1.0504397999999995,,,,False,False,False,False
50,54.999945,49.99995,59.99994,,False,gap_or_filter_edge,123.1,True,ok,10,1.0504397999999995,,,,False,False,False,False
51,55.999944,50.999949,60.999939,,False,gap_or_filter_edge,123.3,True,ok,10,1.0504397999999995,,,,False,False,False,False
52,56.999943,51.999948,61.999938,,False,gap_or_filter_edge,123.6,True,ok,10,1.0504397999999995,,,,False,False,False,False
53,57.999942,52.999947,62.999937,,False,gap_or_filter_edge,123.9,True,ok,10,1.0504397999999995,,,,False,False,False,False
54,58.999941,53.999946,63.999936,99.0,True,candidate_only,124.4,True,ok,10,1.0504397999999995,-25.400000000000006,25.400000000000006,,False,False,True,False
55,59.99994,54.999945,64.999935,99.0,True,candidate_only,124.9,True,ok,10,1.0504397999999995,-25.900000000000006,25.900000000000006,82.0,True,True,False,False
56,60.999939,55.999944,65.999934,99.0,True,candidate_only,125.6,True,ok,10,1.0503051000000028,-26.599999999999994,26.599999999999994,81.0,True,True,False,False
57,61.999938,56.999943,66.999933,98.0,True,candidate_only,126.4,True,ok,10,1.0503051000000028,-28.400000000000006,28.400000000000006,79.0,True,True,False,False
58,62.999937,57.999942,67.999932,97.0,True,candidate_only,127.3,True,ok,10,1.0503051000000028,-30.299999999999997,30.299999999999997,78.0,True,True,False,False
59,63.999936,58.999941,68.99993099999999,96.0,True,candidate_only,128.3,True,ok,10,1.0503051000000028,-32.30000000000001,32.30000000000001,77.0,True,True,False,False
60,64.999935,59.99994,69.99992999999999,95.0,True,candidate_only,129.3,True,ok,10,1.0503051000000028,-34.30000000000001,34.30000000000001,,False,False,True,False
61,65.999934,60.999939,70.999929,,False,gap_or_filter_edge,130.3,True,ok,10,1.0503051000000028,,,,False,False,False,False
