case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
ubfc,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,paired_UBFC_device_HR,44,44,40,40,36,1424,92.04912734324499,48.6602939450807,1424,48.6602939450807,1424,0,0.0,1.56921005910208,2.233238016438553,,40.0,0.0,40.0,fusion proposal provenance
ubfc,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,1424,48.6602939450807,1424,0,0.0,1.4534764838017644,1.8197890497887752,,40.0,0.0,40.0,fusion proposal provenance
ubfc,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,paired_UBFC_device_HR,44,44,40,40,36,1424,92.04912734324499,48.6602939450807,1424,48.6602939450807,1424,0,0.0,1.5692100591021059,2.2332380164385857,,40.0,0.0,40.0,fusion proposal provenance
ubfc,cpace,cpace,primary,own,0,paired_UBFC_device_HR,44,44,40,40,40,1453,93.92372333548803,49.65126903244541,1453,49.65126903244541,1453,0,0.0,2.9667343018667913,2.883112762588566,,,,,not a comparable multi-ROI overlap-fusion generation metric
ubfc,cpace,cpace,primary,strict_common_all6,0,paired_UBFC_device_HR,44,44,40,40,36,1453,93.92372333548803,49.65126903244541,1453,49.65126903244541,1453,0,0.0,3.020303825115233,3.2171633026007034,,,,,not a comparable multi-ROI overlap-fusion generation metric
ubfc,rhythm,rhythm,primary,own,0,paired_UBFC_device_HR,44,44,36,36,36,1346,87.0071105365223,45.994912675617016,1346,45.994912675617016,1346,0,0.0,4.071442176087675,4.2978309153332965,,,,,not a comparable multi-ROI overlap-fusion generation metric
ubfc,rhythm,rhythm,primary,strict_common_all6,0,paired_UBFC_device_HR,44,44,36,36,36,1346,87.0071105365223,45.994912675617016,1346,45.994912675617016,1346,0,0.0,4.071442176087675,4.2978309153332965,,,,,not a comparable multi-ROI overlap-fusion generation metric
ubfc,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,0,paired_UBFC_device_HR,44,44,40,40,40,1453,93.92372333548803,49.65126903244541,1453,49.65126903244541,1453,0,0.0,-1.9037675113076964,-1.5769865131764593,,,,,not a comparable multi-ROI overlap-fusion generation metric
ubfc,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,0,paired_UBFC_device_HR,44,44,40,40,36,1453,93.92372333548803,49.65126903244541,1453,49.65126903244541,1453,0,0.0,-1.77431214954294,-1.3039457396359275,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,v21/fusion,v21/fusion,baseline,own,0,none,419,0,323,323,0,11850,92.09605968757286,395.395,3420,114.114,11850,0,0.0,,,,145.0,178.0,246.0,fusion proposal provenance
kaggle_full,v21/fusion,v21/fusion,baseline,strict_common_all6,0,none,419,0,323,323,0,11850,92.09605968757286,395.395,3420,114.114,11850,0,0.0,,,,145.0,178.0,246.0,fusion proposal provenance
kaggle_full,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,none,419,0,416,416,0,12750,99.09069713219864,425.425,12750,425.425,12750,0,0.0,,,,372.0,44.0,374.0,fusion proposal provenance
kaggle_full,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,none,419,0,416,416,0,12750,99.09069713219864,425.425,12750,425.425,12750,0,0.0,,,,372.0,44.0,374.0,fusion proposal provenance
kaggle_full,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,none,419,0,416,416,0,12750,99.09069713219864,425.425,12750,425.425,12750,0,0.0,,,,372.0,44.0,374.0,fusion proposal provenance
kaggle_full,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,none,419,0,416,416,0,12750,99.09069713219864,425.425,12750,425.425,12750,0,0.0,,,,372.0,44.0,374.0,fusion proposal provenance
kaggle_full,cpace,cpace,primary,own,0,none,419,0,416,416,0,12771,99.2539053392399,426.1257,12771,426.1257,12771,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,cpace,cpace,primary,strict_common_all6,0,none,419,0,416,416,0,12771,99.2539053392399,426.1257,12771,426.1257,12771,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,rhythm,rhythm,primary,own,0,none,419,0,414,414,0,12704,98.73319344058444,423.8901333333333,12704,423.8901333333333,12704,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,rhythm,rhythm,primary,strict_common_all6,0,none,419,0,414,414,0,12704,98.73319344058444,423.8901333333333,12704,423.8901333333333,12704,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,0,none,419,0,405,416,0,12771,99.2539053392399,426.1257,12771,426.1257,12771,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
kaggle_full,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,0,none,419,0,405,416,0,12771,99.2539053392399,426.1257,12771,426.1257,12771,0,0.0,,,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,v21/fusion,v21/fusion,baseline,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,480,0,0.0,9.35149714787086,9.700797827550483,,7.0,0.0,7.0,fusion proposal provenance
synthetic72,v21/fusion,v21/fusion,baseline,strict_common_all6,0,synthetic_72bpm_modulation,11,11,7,7,3,480,80.0,16.0,480,16.0,480,0,0.0,8.71566487414402,8.657055283181812,,7.0,0.0,7.0,fusion proposal provenance
synthetic72,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,480,0,0.0,9.746257102178978,9.998755176686556,,7.0,0.0,7.0,fusion proposal provenance
