case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
data1,rhythm,rhythm,primary,strict_common_all6,-2,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.8765128010869,-11.658778838277843,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,-2,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.695712592336568,-13.190471614584197,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,-2,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.358275063853384,-13.074872923671023,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,v21/fusion,v21/fusion,baseline,own,-1,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.106605275641492,-12.600078750884933,,31.0,7.0,35.0,fusion proposal provenance
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.175999774909858,-12.491274259167062,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,-1,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-12.916780329640236,-13.394063059273822,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-12.86668869276033,-13.355311410441166,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,-1,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-12.916780329640163,-13.394063059273687,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-12.866688692760263,-13.355311410441054,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,-1,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-44.448768933852655,-42.94324898766456,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-43.371634550748105,-42.85787334901933,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,own,-1,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.808453538755876,-11.759096505592858,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.909068035596748,-11.760905488952629,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,-1,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.738992498674888,-13.370815990757544,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,-1,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.406680234221763,-13.363556933901343,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,v21/fusion,v21/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.375341865976969,-13.17358341858892,,31.0,7.0,35.0,fusion proposal provenance
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.482075499158796,-12.825573806047077,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.24101062566904,-13.92866915049476,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.20575325481678,-14.125743759424395,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.241010625668961,-13.928669150494652,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.205753254816706,-14.125743759424301,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-44.68520817208398,-43.50125236530716,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-43.62476085272131,-43.471650014768684,,,,,not a comparable multi-ROI overlap-fusion generation metric
