case,branch,system,role,estimator,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index
user0907,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,42,12,2,1,4,10,8.999991,18.999981,29.999969999999998,16,25,34
user0907,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,42,13,2,1,4,10,8.999991,18.999981,30.999969,16,25,34
user0907,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,42,13,2,1,4,10,8.999991,18.999981,30.999969,16,25,34
user0907,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34
user0907,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34
user0907,cpace/local_peak,cpace,primary,local_peak,42,14,2,1,4,10,8.999991,18.999981,31.999968,16,25,34
user0907,cpace/offline_ridge,cpace,primary,offline_ridge,42,14,2,1,4,10,8.999991,18.999981,31.999968,16,25,34
user0907,rhythm/local_peak,rhythm,primary,local_peak,42,13,2,1,4,10,8.999991,18.999981,30.999969,17,25,34
user0907,rhythm/offline_ridge,rhythm,primary,offline_ridge,42,13,2,1,4,10,8.999991,18.999981,30.999969,17,25,34
user0907,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,42,14,2,1,4,10,8.999991,18.999981,31.999968,16,25,34
user0907,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,42,14,2,1,4,10,8.999991,18.999981,31.999968,16,25,34
ubfc,v21/fusion/local_peak,v21/fusion,baseline,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
