case,branch,matched
user0904,v21/fusion/local_peak,True
user0904,v21/fusion/offline_ridge,True
user0904,trimmed_gap10/fusion/local_peak,True
user0904,trimmed_gap10/fusion/offline_ridge,True
user0904,trimmed_gap15/fusion/local_peak,True
user0904,trimmed_gap15/fusion/offline_ridge,True
user0907,v21/fusion/local_peak,True
user0907,v21/fusion/offline_ridge,True
user0907,trimmed_gap10/fusion/local_peak,True
user0907,trimmed_gap10/fusion/offline_ridge,True
user0907,trimmed_gap15/fusion/local_peak,True
user0907,trimmed_gap15/fusion/offline_ridge,True
ubfc,v21/fusion/local_peak,True
ubfc,v21/fusion/offline_ridge,True
ubfc,trimmed_gap10/fusion/local_peak,True
ubfc,trimmed_gap10/fusion/offline_ridge,True
ubfc,trimmed_gap15/fusion/local_peak,True
ubfc,trimmed_gap15/fusion/offline_ridge,True
kaggle_full,v21/fusion/local_peak,True
kaggle_full,v21/fusion/offline_ridge,True
kaggle_full,trimmed_gap10/fusion/local_peak,True
kaggle_full,trimmed_gap10/fusion/offline_ridge,True
kaggle_full,trimmed_gap15/fusion/local_peak,True
kaggle_full,trimmed_gap15/fusion/offline_ridge,True
synthetic72,v21/fusion/local_peak,True
synthetic72,v21/fusion/offline_ridge,True
synthetic72,trimmed_gap10/fusion/local_peak,True
synthetic72,trimmed_gap10/fusion/offline_ridge,True
synthetic72,trimmed_gap15/fusion/local_peak,True
synthetic72,trimmed_gap15/fusion/offline_ridge,True
data1,v21/fusion/local_peak,True
data1,v21/fusion/offline_ridge,True
data1,trimmed_gap10/fusion/local_peak,True
data1,trimmed_gap10/fusion/offline_ridge,True
data1,trimmed_gap15/fusion/local_peak,True
data1,trimmed_gap15/fusion/offline_ridge,True
