case,branch,system,role,estimator,reference_kind,shift_s,scope,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
ubfc,cpace/local_peak,cpace,primary,local_peak,paired_UBFC_device_HR,0,own,44,40,44,40,90.9090909090909,90.9090909090909,2.76237655682172,3.510995799789267,-0.45039265837329623,3.5263459637160857,-7.362030747256824,6.461245430510232,6.426503053523741,8.071924398625427,33,40,82.5,100.0,75.0,90.9090909090909
ubfc,cpace/offline_ridge,cpace,primary,offline_ridge,paired_UBFC_device_HR,0,own,44,40,44,40,90.9090909090909,90.9090909090909,2.537046048347144,3.09541782926034,-0.5253926583732962,3.0893653969923296,-6.580548836478262,5.529763519731669,5.376503053523744,6.071924398625427,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,rhythm/local_peak,rhythm,primary,local_peak,paired_UBFC_device_HR,0,own,44,36,44,36,81.81818181818181,81.81818181818181,2.3727557430656443,2.990855486479677,-0.6588458225449147,2.958769020253163,-6.458033102241114,5.140341457151285,5.139934678279413,5.557363013698634,33,36,91.66666666666667,100.0,75.0,81.81818181818181
ubfc,rhythm/offline_ridge,rhythm,primary,offline_ridge,paired_UBFC_device_HR,0,own,44,36,44,36,81.81818181818181,81.81818181818181,2.1986169502936344,2.64727985346396,-0.4921791558782481,2.6380220449566543,-5.66270236399329,4.678344052236794,4.348824306281198,4.557363013698634,36,36,100.0,100.0,81.81818181818181,81.81818181818181
ubfc,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,paired_UBFC_device_HR,0,own,44,40,44,40,90.9090909090909,90.9090909090909,2.8123765568217203,3.646485669460805,-0.6003926583732963,3.642538758691344,-7.739768625408331,6.538983308661738,7.280462244301575,8.071924398625427,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,paired_UBFC_device_HR,0,own,44,40,44,40,90.9090909090909,90.9090909090909,2.6892021372646697,3.315054040555203,-0.5503926583732962,3.3106899448891163,-7.0393449503559635,5.938559633609372,5.639980360338848,6.071924398625427,34,40,85.0,100.0,77.27272727272727,90.9090909090909
kaggle_full,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,own,419,323,0,0,77.08830548926014,,,,,,,,,,0,0,,,,
kaggle_full,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,own,419,323,0,0,77.08830548926014,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,cpace/local_peak,cpace,primary,local_peak,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,own,419,416,0,0,99.28400954653938,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/local_peak,rhythm,primary,local_peak,none,0,own,419,414,0,0,98.80668257756564,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,own,419,414,0,0,98.80668257756564,,,,,,,,,,0,0,,,,
kaggle_full,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,none,0,own,419,405,0,0,96.65871121718376,,,,,,,,,,0,0,,,,
kaggle_full,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,none,0,own,419,405,0,0,96.65871121718376,,,,,,,,,,0,0,,,,
synthetic72,v21/fusion/local_peak,v21/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
