case,branch,system,role,estimator,reference_kind,shift_s,scope,Ncommon_output,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
user0907,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_primary10,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
user0907,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,none,0,strict_common_all12,11,42,11,0,0,26.19047619047619,,,,,,,,,,0,0,,,,
ubfc,v21/fusion/local_peak,v21/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.624495207989821,3.4009891421285645,-0.7421791558782481,3.3661011818950097,-7.339737472392467,5.85537916063597,5.955048573704804,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
ubfc,v21/fusion/local_peak,v21/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.624495207989821,3.4009891421285645,-0.7421791558782481,3.3661011818950097,-7.339737472392467,5.85537916063597,5.955048573704804,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
ubfc,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5130168652402918,3.0311339558214003,-0.6310680447671371,3.00676828180434,-6.524333877103643,5.262197787569368,4.689924553205156,5.343965517241372,35,36,97.22222222222223,100.0,79.54545454545455,81.81818181818181
ubfc,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5130168652402918,3.0311339558214003,-0.6310680447671371,3.00676828180434,-6.524333877103643,5.262197787569368,4.689924553205156,5.343965517241372,35,36,97.22222222222223,100.0,79.54545454545455,81.81818181818181
ubfc,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.7870574590370114,3.572316207987596,-0.5199569336560259,3.584407357158344,-7.54539535368638,6.505481486374328,6.193284052393729,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
ubfc,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.7870574590370114,3.572316207987596,-0.5199569336560259,3.584407357158344,-7.54539535368638,6.505481486374328,6.193284052393729,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
