record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,coefficient,polarity,medoid_channel
channel,1,tracked/left_cheek_1/chrom,left_cheek_1,left_cheek,tracked,chrom,nonfinite_bvp,0.4766666666666667,0.4766666610903662,0.16333333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/left_cheek_1/pos,left_cheek_1,left_cheek,tracked,pos,nonfinite_bvp,0.4766666666666667,0.4766666610903662,0.16333333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/left_cheek_2/chrom,left_cheek_2,left_cheek,tracked,chrom,nonfinite_bvp,0.4766666666666667,0.4766666612644833,0.2633333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/left_cheek_2/pos,left_cheek_2,left_cheek,tracked,pos,nonfinite_bvp,0.4766666666666667,0.4766666612644833,0.2633333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/left_cheek_3/chrom,left_cheek_3,left_cheek,tracked,chrom,nonfinite_bvp,0.4766666666666667,0.47666666192561497,0.22,0.006666666666666667,False,,,,,,,
channel,1,tracked/left_cheek_3/pos,left_cheek_3,left_cheek,tracked,pos,nonfinite_bvp,0.4766666666666667,0.47666666192561497,0.22,0.006666666666666667,False,,,,,,,
channel,1,tracked/right_cheek_0/chrom,right_cheek_0,right_cheek,tracked,chrom,nonfinite_bvp,0.4766666666666667,0.4691017728853845,0.19333333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/right_cheek_0/pos,right_cheek_0,right_cheek,tracked,pos,nonfinite_bvp,0.4766666666666667,0.4691017728853845,0.19333333333333333,0.006666666666666667,False,,,,,,,
channel,1,tracked/right_cheek_1/chrom,right_cheek_1,right_cheek,tracked,chrom,nonfinite_bvp,0.15666666666666668,0.15666666539386728,0.06666666666666667,0.02,False,,,,,,,
channel,1,tracked/right_cheek_1/pos,right_cheek_1,right_cheek,tracked,pos,nonfinite_bvp,0.15666666666666668,0.15666666539386728,0.06666666666666667,0.02,False,,,,,,,
channel,1,tracked/right_cheek_2/chrom,right_cheek_2,right_cheek,tracked,chrom,nonfinite_bvp,0.4766666666666667,0.47666666276150454,0.28,0.006666666666666667,False,,,,,,,
channel,1,tracked/right_cheek_2/pos,right_cheek_2,right_cheek,tracked,pos,nonfinite_bvp,0.4766666666666667,0.47666666276150454,0.28,0.006666666666666667,False,,,,,,,
channel,1,tracked/right_cheek_3/chrom,right_cheek_3,right_cheek,tracked,chrom,nonfinite_bvp,0.34,0.3393115043859146,0.15333333333333332,0.04,False,,,,,,,
channel,1,tracked/right_cheek_3/pos,right_cheek_3,right_cheek,tracked,pos,nonfinite_bvp,0.34,0.3393115043859146,0.15333333333333332,0.04,False,,,,,,,
