variant,comparator,case,delta_MAE_bpm,delta_RMSE_bpm,delta_P5_pp,delta_R5_pp,delta_hr_coverage_pp,delta_waveform_coverage_pp,common_windows,new_windows,lost_windows,common_MAE_bpm,common_comparator_MAE_bpm,new_MAE_bpm,lost_comparator_MAE_bpm
direct_guard,V25,data1,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,13.097297297297297,13.097297297297297,,
direct_guard,V26_harmonic,data1,-19.557965860597434,-24.132896997632173,0.0,0.0,-2.3809523809523796,-1.9292604501607746,37,0,1,13.097297297297297,32.097297297297295,,53.3
direct_guard,V26_conservative,data1,-20.108108108108105,-24.565623179226435,0.0,0.0,0.0,0.0,37,0,0,13.097297297297297,33.2054054054054,,
direct_guard,V25,data2,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,3.0151515151515142,3.0151515151515142,,
direct_guard,V26_harmonic,data2,0.8667644183773215,1.3942575716559862,-12.121212121212125,-5.405405405405418,5.4054054054054035,4.307250538406315,31,2,0,2.56774193548387,2.1483870967741927,9.949999999999996,
direct_guard,V26_conservative,data2,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,3.0151515151515142,3.0151515151515142,,
direct_guard,V25,data3,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0,32.87118644067797,32.87118644067797,,
direct_guard,V26_harmonic,data3,-8.786190608502359,-3.239056897426117,18.64406779661017,16.923076923076923,-3.076923076923066,-2.701485817199467,59,0,2,32.87118644067797,41.57966101694915,,43.95
direct_guard,V26_conservative,data3,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0,32.87118644067797,32.87118644067797,,
direct_guard,V25,data4,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0,2.556521739130435,2.556521739130435,,
direct_guard,V26_harmonic,data4,0.1739130434782612,0.22446888461557402,-2.173913043478265,-2.0,0.0,0.0,46,0,0,2.556521739130435,2.382608695652174,,
direct_guard,V26_conservative,data4,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0,2.556521739130435,2.556521739130435,,
direct_guard,V25,data5,-41.28571428571428,-32.2806530505899,40.816326530612244,37.73584905660377,0.0,0.0,49,0,0,19.436734693877554,60.72244897959183,,
direct_guard,V26_harmonic,data5,15.775510204081638,34.82711815151129,-30.61224489795918,-28.301886792452834,0.0,0.0,49,0,0,19.436734693877554,3.6612244897959165,,
direct_guard,V26_conservative,data5,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,19.436734693877554,19.436734693877554,,
direct_guard,V25,data6,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,26.002777777777776,26.002777777777776,,
direct_guard,V26_harmonic,data6,5.113304093567251,5.891890125915573,0.0,0.0,-3.225806451612904,-2.7932960893854664,36,0,2,26.002777777777776,20.30833333333333,,31.35000000000001
direct_guard,V26_conservative,data6,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,26.002777777777776,26.002777777777776,,
