time_s,base,observed,interpolated,covered
5.2333281,0.37078652675803336,True,False,True
5.266661399999999,0.41017060924330123,True,False,True
5.2999947,0.44054725736803535,True,False,True
5.333328,0.4600634966187436,True,False,True
5.3666613,0.46712631068032334,True,False,True
5.399994599999999,0.460495328116978,True,False,True
5.4333279,0.439364641140456,True,False,True
5.4666612,0.4034292661824515,True,False,True
5.4999945,0.3529323704060984,True,False,True
5.5333278,0.28869019465529644,True,False,True
5.5666611,0.21209256939692137,True,False,True
5.5999944,0.1250780077709118,True,False,True
5.6333277,0.03008352481722858,True,False,True
5.666661,-0.07002947544814431,True,False,True
5.699994299999999,-0.17207073758716657,True,False,True
5.7333276,-0.27263452747737643,True,False,True
5.7666609,-0.3682263099162022,True,False,True
5.7999942,-0.45539745454233305,True,False,True
5.833327499999999,-0.5308821880916579,True,False,True
5.8666608,-0.5917307812900892,True,False,True
5.8999941,-0.6354330250334326,True,False,True
5.9333274,-0.6600264162701616,True,False,True
5.966660699999999,-0.6641841243840972,True,False,True
5.999994,-0.6472787112028955,True,False,True
6.0333273,-0.6094186832879173,True,False,True
6.0666606,-0.5514562022088579,True,False,True
6.099993899999999,-0.4749655966902024,True,False,True
6.1333272,-0.3821936357481652,True,False,True
6.1666605,-0.2759837618008687,True,False,True
6.1999938,-0.1596775818211155,True,False,True
6.2333271,-0.03699781927103036,True,False,True
6.266660399999999,0.08808239845115348,True,False,True
6.2999937,0.21147862398451606,True,False,True
6.333327,0.3291370914062059,True,False,True
6.3666603,0.43717426602951376,True,False,True
6.399993599999999,0.5320088808697698,True,False,True
6.4333269,0.6104818958834994,True,False,True
6.4666602,0.669960467876257,True,False,True
6.4999935,0.7084227859702422,True,False,True
6.533326799999999,0.7245214703552986,True,False,True
6.5666601,0.7176241114318873,True,False,True
6.5999934,0.6878304035298878,True,False,True
6.6333267,0.6359661642328103,True,False,True
6.666659999999999,0.5635552910951687,True,False,True
6.6999933,0.4727713602763757,True,False,True
6.7333266,0.3663710907485618,True,False,True
6.7666599,0.2476122666197254,True,False,True
6.799993199999999,0.12015892317887628,True,False,True
6.8333265,-0.01202333380037018,True,False,True
6.8666598,-0.1447790724189857,True,False,True
6.8999931,-0.2738792072731528,True,False,True
6.9333264,-0.39513919711383355,True,False,True
6.966659699999999,-0.5045371203080845,True,False,True
6.999993,-0.5983297195849977,True,False,True
7.0333263,-0.6731646905436398,True,False,True
7.0666596,-0.7261875818271857,True,False,True
7.099992899999999,-0.7551416506465439,True,False,True
7.1333262,-0.7584588541458687,True,False,True
7.1666595,-0.735339842438144,True,False,True
7.1999928,-0.6858203537724578,True,False,True
7.233326099999999,-0.6108208179222837,True,False,True
7.2666594,-0.5121753035117846,True,False,True
7.2999927,-0.3926352937526096,True,False,True
7.333326,-0.2558432872126204,True,False,True
7.366659299999999,-0.10627108691054533,True,False,True
7.3999926,0.05088191661554191,True,False,True
7.4333259,0.20983392776641013,True,False,True
7.4666592,0.3644106639822575,True,False,True
7.499992499999999,0.5082780876644802,True,False,True
7.533325799999999,0.6352119566817193,True,False,True
7.5666591,0.7393935678848726,True,False,True
7.5999924,0.8157164064395405,True,False,True
7.633325699999999,0.860084397894276,True,False,True
7.666658999999999,0.869679820835803,True,False,True
7.6999923,0.843178329019245,True,False,True
7.7333256,0.7808903870910547,True,False,True
7.766658899999999,0.6848128400367333,True,False,True
7.799992199999999,0.5585810089169478,True,False,True
