roi,rgb_source,method,run_start_frame,run_end_frame,window_start_frame,window_end_frame,window_start_s,window_end_s,observed_fraction,interpolated_fraction,status,alpha_raw,alpha,first_std,second_std,output_std,cancellation_fraction,colour_covariance_rank_ratio,common_log_std,chromatic_log_std,max_signed_coefficient_l1,branch
forehead,baseline,logpos,28,1555,28,76,0.9333324,2.5333308,1.0,0.0,bounded_log_projection,0.1654986775926548,0.25,0.00665666569428703,0.040221866368450473,0.012701810244317522,0.31579365631527884,0.00965972963657027,0.019828475176080128,0.009862195294991603,1.0,baseline
forehead,baseline,logchrom,28,1555,28,76,0.9333324,2.5333308,1.0,0.0,bounded_log_projection,3.362368904328858,3.362368904328858,0.0590700553738654,0.017567987646393016,0.004827442247226304,0.08172401763757493,0.00936059985211887,0.019828475176080128,0.009862195294991603,1.0,baseline
forehead,baseline,logpos,28,1555,52,100,1.7333315999999999,3.3333299999999997,1.0,0.0,bounded_log_projection,0.15796606635570587,0.25,0.0052315478936151545,0.03311817540505709,0.009230737388587975,0.27872119389700606,0.02015826757894581,0.0172794044328841,0.008092935267014942,1.0,baseline
forehead,baseline,logchrom,28,1555,52,100,1.7333315999999999,3.3333299999999997,1.0,0.0,bounded_log_projection,2.6602514254519685,2.6602514254519685,0.04664483996970926,0.017533996795729354,0.005623732447668254,0.12056494247424272,0.020948221757695954,0.0172794044328841,0.008092935267014942,1.0,baseline
forehead,baseline,logpos,28,1555,76,124,2.5333308,4.1333291999999995,1.0,0.0,bounded_log_projection,0.19491390272705475,0.25,0.003951177613478326,0.020271399618996433,0.004425209969711536,0.21829819612280985,0.03508338224570449,0.013633657197804655,0.005042954690086653,1.0,baseline
forehead,baseline,logchrom,28,1555,76,124,2.5333308,4.1333291999999995,1.0,0.0,bounded_log_projection,1.8778136870554387,1.8778136870554387,0.02625073802470534,0.013979415639401685,0.0044513958113530285,0.1695722157283231,0.041842948602484664,0.013633657197804655,0.005042954690086653,1.0,baseline
forehead,baseline,logpos,28,1555,100,148,3.3333299999999997,4.9333284,1.0,0.0,bounded_log_projection,0.36705243986856084,0.36705243986856084,0.004486893860573555,0.01222412215044881,0.0036380759344154176,0.2976144944920929,0.10967919169356222,0.011760903241473004,0.003414233376593828,1.0,baseline
forehead,baseline,logchrom,28,1555,100,148,3.3333299999999997,4.9333284,1.0,0.0,bounded_log_projection,1.4237602221449432,1.4237602221449432,0.015145070154984537,0.010637374130433265,0.004779581626387235,0.31558662835339735,0.14482215667876067,0.011760903241473004,0.003414233376593828,1.0,baseline
forehead,baseline,logpos,28,1555,124,172,4.1333291999999995,5.7333276,1.0,0.0,bounded_log_projection,0.5322885899443891,0.5322885899443891,0.005042687180640877,0.009473596233140582,0.0044901917219924365,0.4739690832806263,0.28091261065386136,0.011446568370970465,0.003037132305993553,1.0,baseline
forehead,baseline,logchrom,28,1555,124,172,4.1333291999999995,5.7333276,1.0,0.0,bounded_log_projection,1.5316619686934625,1.5316619686934625,0.013272793644697573,0.008665615466067571,0.005923633925680105,0.4462989544063749,0.31490069392060716,0.011446568370970465,0.003037132305993553,1.0,baseline
forehead,baseline,logpos,28,1555,148,196,4.9333284,6.533326799999999,1.0,0.0,bounded_log_projection,0.23582135864099868,0.25,0.0062148973638681505,0.02635425985026812,0.007850775191401295,0.2978939737258993,0.053731244068415326,0.014464205722287843,0.00670995057104538,1.0,baseline
forehead,baseline,logchrom,28,1555,148,196,4.9333284,6.533326799999999,1.0,0.0,bounded_log_projection,2.3001402960095896,2.3001402960095896,0.03673529709174931,0.015970894103929108,0.007286406797246988,0.1983489279819518,0.057163809070971586,0.014464205722287843,0.00670995057104538,1.0,baseline
forehead,baseline,logpos,28,1555,172,220,5.7333276,7.333326,1.0,0.0,bounded_log_projection,0.19250040388969727,0.25,0.005589260644341924,0.029035059311068097,0.007289082724453634,0.2510441823576731,0.037051355851185054,0.012624811291062568,0.007214007103654554,1.0,baseline
forehead,baseline,logchrom,28,1555,172,220,5.7333276,7.333326,1.0,0.0,bounded_log_projection,2.1231089457271706,2.1231089457271706,0.039052531109311235,0.018394030691597712,0.00658851813378323,0.16870911939974972,0.04165644114376788,0.012624811291062568,0.007214007103654554,1.0,baseline
