time_s,bpm,snr_db
4.999995,64.16022041022042,-4.08179109857691
5.999994,63.281313281313295,-3.679924120473567
6.999993,63.281313281313295,-3.3742907313267434
7.999992,63.281313281313295,-4.307525213046922
8.999991,65.91803466803468,-5.756679391858843
9.99999,65.91803466803468,-6.319533486103719
10.999989,66.79694179694181,-6.168639273775975
11.999988,65.91803466803468,-5.505979825317905
12.999986999999999,65.91803466803468,-4.906444570524257
13.999986,65.91803466803468,-4.536670261707829
14.999984999999999,65.91803466803468,-4.173075954467897
15.999984,65.03912753912755,-3.0903128193061473
16.999983,63.281313281313295,-1.2112670725846746
17.999982,63.281313281313295,-0.30116065674135645
18.999981,63.281313281313295,-0.6296600303039547
19.99998,65.03912753912755,-2.274432287977472
20.999979,65.91803466803468,-4.080684260016997
21.999978,66.79694179694181,-5.047671170034496
22.999976999999998,65.91803466803468,-5.455605644308355
23.999976,64.16022041022042,-3.9846471657932305
24.999975,61.52349902349903,-1.4437789381976525
25.999973999999998,62.402406152406165,-1.2247846706057104
26.999972999999997,63.281313281313295,-2.009366905310526
27.999972,64.16022041022042,-2.437154601928968
28.999971,64.16022041022042,-2.4470362923603677
29.999969999999998,64.16022041022042,-2.1925799303386135
30.999969,64.16022041022042,-1.8322524357310777
31.999968,64.16022041022042,-1.3997881848510805
32.999967,65.03912753912755,-0.7281143560104797
33.999966,65.91803466803468,-0.004304951738392564
34.999964999999996,65.91803466803468,0.29855489767604704
35.999964,66.79694179694181,0.5969372915144958
36.999963,66.79694179694181,1.0284600718411763
37.999962,66.79694179694181,1.4199093506238483
38.999961,67.67584892584894,1.9961664362837235
39.99996,68.55475605475607,2.6745977115317827
40.999959,67.67584892584894,2.417832641130524
41.999958,67.67584892584894,1.320972428735396
42.999956999999995,65.91803466803468,-0.12617244054458565
