window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,error_bpm,abs_error_bpm,status,V25_bpm,V25_accepted,common,new,lost,V26_harmonic_bpm,V26_harmonic_accepted,V26_conservative_bpm,V26_conservative_accepted
32,36.999963,31.999968,41.999958,101.0,True,105.0,True,4.0,4.0,candidate_only,184.0,True,True,False,False,105.0,True,105.0,True
33,37.999962,32.999967,42.999957,101.5,True,105.0,True,3.5,3.5,candidate_only,184.0,True,True,False,False,105.0,True,105.0,True
34,38.999961,33.999966,43.999956,102.0,True,105.0,True,3.0,3.0,candidate_only,184.0,True,True,False,False,105.0,True,105.0,True
35,39.99996,34.999965,44.999955,102.4,True,105.0,True,2.5999999999999943,2.5999999999999943,candidate_only,184.0,True,True,False,False,105.0,True,105.0,True
36,40.999959,35.999964,45.999954,102.8,True,105.0,True,2.200000000000003,2.200000000000003,candidate_only,184.0,True,True,False,False,105.0,True,105.0,True
37,41.999958,36.999963,46.999953,103.2,True,106.0,True,2.799999999999997,2.799999999999997,candidate_only,184.0,True,True,False,False,106.0,True,106.0,True
38,42.999957,37.999962,47.999952,103.6,True,107.0,True,3.4000000000000057,3.4000000000000057,candidate_only,184.0,True,True,False,False,107.0,True,107.0,True
39,43.999956,38.999961,48.999951,103.9,True,107.0,True,3.0999999999999943,3.0999999999999943,candidate_only,184.0,True,True,False,False,107.0,True,107.0,True
40,44.999955,39.99996,49.99995,104.2,True,107.0,True,2.799999999999997,2.799999999999997,candidate_only,184.0,True,True,False,False,107.0,True,107.0,True
41,45.999954,40.999959,50.999949,104.4,True,108.0,True,3.5999999999999943,3.5999999999999943,candidate_only,184.0,True,True,False,False,108.0,True,108.0,True
42,46.999953,41.999958,51.999948,104.7,True,109.0,True,4.299999999999997,4.299999999999997,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
43,47.999952,42.999957,52.999947,104.9,True,109.0,True,4.099999999999994,4.099999999999994,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
44,48.999951,43.999956,53.999946,105.1,True,109.0,True,3.9000000000000057,3.9000000000000057,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
45,49.99995,44.999955,54.999945,105.4,True,109.0,True,3.5999999999999943,3.5999999999999943,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
46,50.999949,45.999954,55.999944,105.7,True,109.0,True,3.299999999999997,3.299999999999997,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
47,51.999948,46.999953,56.999943,105.9,True,109.0,True,3.0999999999999943,3.0999999999999943,candidate_only,185.0,True,True,False,False,109.0,True,109.0,True
48,52.999947,47.999952,57.999942,106.2,True,109.0,True,2.799999999999997,2.799999999999997,candidate_only,184.0,True,True,False,False,109.0,True,109.0,True
49,53.999946,48.999951,58.999941,106.5,True,109.0,True,2.5,2.5,candidate_only,184.0,True,True,False,False,109.0,True,109.0,True
50,54.999945,49.99995,59.99994,106.8,True,109.0,True,2.200000000000003,2.200000000000003,candidate_only,184.0,True,True,False,False,109.0,True,109.0,True
51,55.999944,50.999949,60.999939,107.2,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
52,56.999943,51.999948,61.999938,107.5,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
