shift_s,Nvalid,Nref,MAE_bpm,P5_valid_pct,R5_all_reference_pct
-5,260,309,17.21545454545454,34.61538461538461,29.12621359223301
-2,260,309,17.321923076923074,38.84615384615385,32.68608414239482
-1,260,309,17.379615384615384,40.38461538461539,33.980582524271846
0,260,309,17.421538461538464,43.46153846153846,36.56957928802589
1,260,309,17.452692307692306,44.23076923076923,37.2168284789644
2,260,309,17.470384615384617,44.61538461538461,37.54045307443366
5,260,307,17.421923076923072,48.46153846153846,41.042345276872965
