window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,True,67.0,67.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""tracked/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 58.0, ""left_cheek"": 67.0, ""right_cheek"": 101.0}",True,43.0,
3,7.999992,2.999997,12.999986999999999,True,68.0,68.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""tracked/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 59.0, ""left_cheek"": 68.0, ""right_cheek"": 101.0}",True,42.0,
4,8.999991,3.999996,13.999986,True,72.0,72.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 57.0, ""left_cheek"": 72.0, ""right_cheek"": 99.0}",True,42.0,
5,9.99999,4.999995,14.999984999999999,True,73.0,73.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 45.0, ""left_cheek"": 73.0, ""right_cheek"": 111.0}",True,66.0,
6,10.999989,5.999994,15.999984,True,59.0,59.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 56.0, ""left_cheek"": 73.0, ""right_cheek"": 59.0}",True,17.0,
7,11.999988,6.999993,16.999983,True,60.0,60.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 57.0, ""left_cheek"": 73.0, ""right_cheek"": 60.0}",True,16.0,
8,12.999986999999999,7.999992,17.999982,True,60.0,60.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]","{""forehead"": 55.0, ""left_cheek"": 71.0, ""right_cheek"": 60.0}",True,16.0,
9,13.999986,8.999991,18.999981,True,72.0,72.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 75.0, ""left_cheek"": 72.0, ""right_cheek"": 57.0}",True,18.0,
