window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,accepted,estimated_bpm,error_bpm,abs_error_bpm,baseline_accepted,baseline_bpm,common,new,lost,status
0,4.999995,0.0,9.99999,103.4,True,False,,,,False,,False,False,False,gap_or_filter_edge
1,5.999994,0.999999,10.999989,103.1,True,False,,,,False,,False,False,False,gap_or_filter_edge
2,6.999993,1.999998,11.999988,102.7,True,False,,,,False,,False,False,False,gap_or_filter_edge
3,7.999992,2.999997,12.999987,102.2,True,False,,,,False,,False,False,False,gap_or_filter_edge
4,8.999991,3.999996,13.999986,101.6,True,True,55.0,-46.599999999999994,46.599999999999994,True,55.0,True,False,False,candidate_only
5,9.99999,4.999995,14.999985,101.1,True,True,54.0,-47.099999999999994,47.099999999999994,True,54.0,True,False,False,candidate_only
6,10.999989,5.999994,15.999984,100.7,True,True,53.0,-47.7,47.7,True,53.0,True,False,False,candidate_only
7,11.999988,6.999993,16.999983,100.4,True,True,52.0,-48.400000000000006,48.400000000000006,True,53.0,True,False,False,candidate_only
8,12.999987,7.999992,17.999982,100.1,True,True,52.0,-48.099999999999994,48.099999999999994,True,53.0,True,False,False,candidate_only
9,13.999986,8.999991,18.999981,100.0,True,True,52.0,-48.0,48.0,True,53.0,True,False,False,candidate_only
10,14.999985,9.99999,19.99998,100.0,True,True,52.0,-48.0,48.0,True,53.0,True,False,False,candidate_only
11,15.999984,10.999989,20.999979,100.2,True,True,51.0,-49.2,49.2,True,52.0,True,False,False,candidate_only
12,16.999983,11.999988,21.999978,100.4,True,True,51.0,-49.400000000000006,49.400000000000006,True,52.0,True,False,False,candidate_only
13,17.999982,12.999987,22.999977,100.7,True,True,52.0,-48.7,48.7,True,52.0,True,False,False,candidate_only
14,18.999981,13.999986,23.999976,101.1,True,True,54.0,-47.099999999999994,47.099999999999994,True,54.0,True,False,False,candidate_only
15,19.99998,14.999985,24.999975,101.6,True,True,57.0,-44.599999999999994,44.599999999999994,True,57.0,True,False,False,candidate_only
16,20.999979,15.999984,25.999974,102.2,True,True,59.0,-43.2,43.2,True,59.0,True,False,False,candidate_only
17,21.999978,16.999983,26.999973,103.0,True,True,61.0,-42.0,42.0,True,61.0,True,False,False,candidate_only
18,22.999977,17.999982,27.999972,104.0,True,True,62.0,-42.0,42.0,True,62.0,True,False,False,candidate_only
19,23.999976,18.999981,28.999971,104.9,True,True,62.0,-42.900000000000006,42.900000000000006,True,63.0,True,False,False,candidate_only
20,24.999975,19.99998,29.99997,105.8,True,True,61.0,-44.8,44.8,True,64.0,True,False,False,candidate_only
21,25.999974,20.999979,30.999969,106.6,True,True,59.0,-47.599999999999994,47.599999999999994,True,64.0,True,False,False,candidate_only
