record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,13,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,tracking_ineligible,1.0,0.9808333225778777,0.0,0.043333333333333335,False,,,,,,,,,,,,,,,
channel,13,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,tracking_ineligible,1.0,0.9808333225778777,0.0,0.043333333333333335,False,,,,,,,,,,,,,,,
channel,13,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.7616666576068667,0.0,0.03333333333333333,False,,,,,,,,,,,,,,,
channel,13,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,tracking_ineligible,1.0,0.7616666576068667,0.0,0.03333333333333333,False,,,,,,,,,,,,,,,
cluster,13,,,,,,,,,,,,96.0,0.4191947687566759,8.990176123089114,0.2396519779339421,0.0,"[""forehead"", ""right_cheek""]","[""forehead"", ""right_cheek""]",2.0,2.0,True,0.15976798528929473,True,,,
cluster,13,,,,,,,,,,,,185.0,0.46344208473736936,9.19075136752997,0.2624401995188275,1.0,"[""left_cheek""]","[""left_cheek""]",1.0,1.0,False,0.08748006650627584,False,,,
contributor,13,baseline/forehead/pos,forehead,forehead,,,,,,,,,96.0,,,,,,,,,,,,0.5,1.0,baseline/right_cheek/pos
contributor,13,baseline/right_cheek/pos,right_cheek,right_cheek,,,,,,,,,96.0,,,,,,,,,,,,0.5,1.0,baseline/right_cheek/pos
channel,14,baseline/forehead/chrom,forehead,forehead,baseline,chrom,eligible,1.0,0.9999999888347374,0.03,0.0,False,95.0,0.3415653146292805,8.827174910606843,0.1967997960906326,,,,,,,,,,,
channel,14,baseline/forehead/pos,forehead,forehead,baseline,pos,eligible,1.0,0.9999999888347374,0.03,0.0,True,95.0,0.5049405395166741,7.914319060798505,0.3042678213450864,,,,,,,,,,,
channel,14,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,eligible,1.0,0.9808333224567395,0.0,0.04,False,185.0,0.34720150287411916,9.012102636243867,0.19828658305250982,,,,,,,,,,,
channel,14,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,eligible,1.0,0.9808333224567395,0.0,0.04,True,186.0,0.38132779308149467,8.54608538267513,0.22271558945415726,,,,,,,,,,,
channel,14,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,eligible,1.0,0.7599999909511107,0.0,0.03,False,85.0,0.16918217137475733,9.11482163279581,0.09614980849962648,,,,,,,,,,,
channel,14,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,eligible,1.0,0.7599999909511107,0.0,0.03,True,95.0,0.2938873377764759,7.55014068138901,0.18038990669130814,,,,,,,,,,,
channel,14,tracked/forehead/chrom,forehead,forehead,tracked,chrom,tracking_ineligible,1.0,0.9999999888347374,0.03,0.0,False,,,,,,,,,,,,,,,
channel,14,tracked/forehead/pos,forehead,forehead,tracked,pos,tracking_ineligible,1.0,0.9999999888347374,0.03,0.0,False,,,,,,,,,,,,,,,
channel,14,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,tracking_ineligible,1.0,0.9808333224567395,0.0,0.04,False,,,,,,,,,,,,,,,
channel,14,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,tracking_ineligible,1.0,0.9808333224567395,0.0,0.04,False,,,,,,,,,,,,,,,
channel,14,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.7599999909511107,0.0,0.03,False,,,,,,,,,,,,,,,
channel,14,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,tracking_ineligible,1.0,0.7599999909511107,0.0,0.03,False,,,,,,,,,,,,,,,
cluster,14,,,,,,,,,,,,95.0,0.39941393864657504,7.774207217488339,0.24238480011072164,0.0,"[""forehead"", ""right_cheek""]","[""forehead"", ""right_cheek""]",2.0,2.0,True,0.1615898667404811,True,,,
cluster,14,,,,,,,,,,,,186.0,0.38132779308149456,8.54608538267513,0.22271558945415718,1.0,"[""left_cheek""]","[""left_cheek""]",1.0,1.0,False,0.07423852981805239,False,,,
contributor,14,baseline/forehead/pos,forehead,forehead,,,,,,,,,95.0,,,,,,,,,,,,0.5,1.0,baseline/forehead/pos
contributor,14,baseline/right_cheek/pos,right_cheek,right_cheek,,,,,,,,,95.0,,,,,,,,,,,,0.5,1.0,baseline/forehead/pos
channel,15,baseline/forehead/chrom,forehead,forehead,baseline,chrom,eligible,1.0,0.9999999885798462,0.03333333333333333,0.0,False,96.0,0.2428351342264834,8.052425666182103,0.14532015523848682,,,,,,,,,,,
channel,15,baseline/forehead/pos,forehead,forehead,baseline,pos,eligible,1.0,0.9999999885798462,0.03333333333333333,0.0,True,95.0,0.4106922600254086,7.4778914170772595,0.25302056648616517,,,,,,,,,,,
channel,15,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,eligible,1.0,0.9799999891115374,0.0,0.043333333333333335,False,185.0,0.27321108575628356,8.808724238596511,0.15755569594191182,,,,,,,,,,,
channel,15,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,eligible,1.0,0.9799999891115374,0.0,0.043333333333333335,True,186.0,0.3309738694742257,8.378787972899431,0.19489316238887336,,,,,,,,,,,
channel,15,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,eligible,1.0,0.7624999912650476,0.0,0.03333333333333333,False,85.0,0.18773271353517126,25.397974505013792,0.06023835761800503,,,,,,,,,,,
channel,15,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,eligible,1.0,0.7624999912650476,0.0,0.03333333333333333,True,94.0,0.32529319920488337,10.040092073844647,0.17710989488519296,,,,,,,,,,,
channel,15,tracked/forehead/chrom,forehead,forehead,tracked,chrom,tracking_ineligible,1.0,0.9999999885798462,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,15,tracked/forehead/pos,forehead,forehead,tracked,pos,tracking_ineligible,1.0,0.9999999885798462,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,15,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,tracking_ineligible,1.0,0.9799999891115374,0.0,0.043333333333333335,False,,,,,,,,,,,,,,,
channel,15,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,tracking_ineligible,1.0,0.9799999891115374,0.0,0.043333333333333335,False,,,,,,,,,,,,,,,
channel,15,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.7624999912650476,0.0,0.03333333333333333,False,,,,,,,,,,,,,,,
channel,15,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,tracking_ineligible,1.0,0.7624999912650476,0.0,0.03333333333333333,False,,,,,,,,,,,,,,,
cluster,15,,,,,,,,,,,,95.0,0.362268815058321,8.16986174436795,0.21553076742897018,0.0,"[""forehead"", ""right_cheek""]","[""forehead"", ""right_cheek""]",2.0,2.0,True,0.14368717828598013,True,,,
cluster,15,,,,,,,,,,,,186.0,0.33097386947422575,8.378787972899431,0.1948931623888734,1.0,"[""left_cheek""]","[""left_cheek""]",1.0,1.0,False,0.0649643874629578,False,,,
contributor,15,baseline/forehead/pos,forehead,forehead,,,,,,,,,95.0,,,,,,,,,,,,0.5,1.0,baseline/right_cheek/pos
contributor,15,baseline/right_cheek/pos,right_cheek,right_cheek,,,,,,,,,94.0,,,,,,,,,,,,0.5,1.0,baseline/right_cheek/pos
channel,16,baseline/forehead/chrom,forehead,forehead,baseline,chrom,eligible,1.0,0.9999999884815869,0.04,0.0,False,55.0,0.2476357658047412,10.435780338981075,0.1324504494498831,,,,,,,,,,,
channel,16,baseline/forehead/pos,forehead,forehead,baseline,pos,eligible,1.0,0.9999999884815869,0.04,0.0,True,96.0,0.3257718691688933,9.108826730610886,0.18519562834620823,,,,,,,,,,,
channel,16,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,eligible,1.0,0.9783333225891533,0.0,0.04666666666666667,False,186.0,0.23862672359148074,8.780717041408394,0.13779701043962128,,,,,,,,,,,
channel,16,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,eligible,1.0,0.9783333225891533,0.0,0.04666666666666667,True,186.0,0.3090447864526573,8.579515164042505,0.18020528704736535,,,,,,,,,,,
channel,16,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,eligible,1.0,0.7616666579204064,0.0,0.03,False,54.0,0.1663389549815182,16.31308705688715,0.07049981712582895,,,,,,,,,,,
channel,16,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,eligible,1.0,0.7616666579204064,0.0,0.03,True,92.0,0.3709146965566937,12.410595554386717,0.18233788474204024,,,,,,,,,,,
channel,16,tracked/forehead/chrom,forehead,forehead,tracked,chrom,tracking_ineligible,1.0,0.9999999884815869,0.04,0.0,False,,,,,,,,,,,,,,,
channel,16,tracked/forehead/pos,forehead,forehead,tracked,pos,tracking_ineligible,1.0,0.9999999884815869,0.04,0.0,False,,,,,,,,,,,,,,,
channel,16,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,tracking_ineligible,1.0,0.9783333225891533,0.0,0.04666666666666667,False,,,,,,,,,,,,,,,
channel,16,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,tracking_ineligible,1.0,0.9783333225891533,0.0,0.04666666666666667,False,,,,,,,,,,,,,,,
channel,16,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.7616666579204064,0.0,0.03,False,,,,,,,,,,,,,,,
channel,16,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,tracking_ineligible,1.0,0.7616666579204064,0.0,0.03,False,,,,,,,,,,,,,,,
cluster,16,,,,,,,,,,,,94.0,0.32760075291885965,11.037229072374558,0.1706459150393432,0.0,"[""forehead"", ""right_cheek""]","[""forehead"", ""right_cheek""]",2.0,2.0,True,0.11376394335956214,True,,,
cluster,16,,,,,,,,,,,,186.0,0.30904478645265726,8.579515164042505,0.18020528704736533,1.0,"[""left_cheek""]","[""left_cheek""]",1.0,1.0,False,0.06006842901578844,False,,,
contributor,16,baseline/forehead/pos,forehead,forehead,,,,,,,,,96.0,,,,,,,,,,,,0.5,1.0,baseline/forehead/pos
contributor,16,baseline/right_cheek/pos,right_cheek,right_cheek,,,,,,,,,92.0,,,,,,,,,,,,0.5,1.0,baseline/forehead/pos
channel,17,baseline/forehead/chrom,forehead,forehead,baseline,chrom,eligible,1.0,0.9999999881996664,0.04,0.0,True,54.0,0.25220382815069214,10.583902238493096,0.13400899037943428,,,,,,,,,,,
channel,17,baseline/forehead/pos,forehead,forehead,baseline,pos,eligible,1.0,0.9999999881996664,0.04,0.0,False,96.0,0.26960587324520774,17.729256262492,0.10882446739928306,,,,,,,,,,,
channel,17,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,eligible,1.0,0.9783333228328753,0.0,0.05,False,187.0,0.2368117301545063,8.214341038926307,0.1405804303183467,,,,,,,,,,,
channel,17,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,eligible,1.0,0.9783333228328753,0.0,0.05,True,186.0,0.30834306302026837,8.726353862649034,0.17852231901295487,,,,,,,,,,,
channel,17,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,eligible,1.0,0.7616666579174685,0.0,0.03333333333333333,False,92.0,0.15993780885393002,9.195288234640287,0.09055096043046251,,,,,,,,,,,
