window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status,branch,original_channel
0,2.999997,forehead_baseline_pos,forehead,baseline_pos,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_pos
0,2.999997,forehead_baseline_chrom,forehead,baseline_chrom,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_chrom
0,2.999997,left_cheek_baseline_pos,left_cheek,baseline_pos,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_pos
0,2.999997,left_cheek_baseline_chrom,left_cheek,baseline_chrom,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_chrom
0,2.999997,right_cheek_baseline_pos,right_cheek,baseline_pos,insufficient_observed_roi,0.03888888888888889,0.036133380547880255,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_pos
0,2.999997,right_cheek_baseline_chrom,right_cheek,baseline_chrom,insufficient_observed_roi,0.03888888888888889,0.036133380547880255,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_chrom
0,2.999997,forehead_tracked_pos,forehead,tracked_pos,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_pos
0,2.999997,forehead_tracked_chrom,forehead,tracked_chrom,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_chrom
0,2.999997,left_cheek_tracked_pos,left_cheek,tracked_pos,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_pos
0,2.999997,left_cheek_tracked_chrom,left_cheek,tracked_chrom,insufficient_observed_roi,0.03888888888888889,0.03888888888888889,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_chrom
0,2.999997,right_cheek_tracked_pos,right_cheek,tracked_pos,insufficient_observed_roi,0.03888888888888889,0.036133380547880255,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_pos
0,2.999997,right_cheek_tracked_chrom,right_cheek,tracked_chrom,insufficient_observed_roi,0.03888888888888889,0.036133380547880255,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_chrom
1,3.999996,forehead_baseline_pos,forehead,baseline_pos,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_pos
1,3.999996,forehead_baseline_chrom,forehead,baseline_chrom,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_chrom
1,3.999996,left_cheek_baseline_pos,left_cheek,baseline_pos,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_pos
1,3.999996,left_cheek_baseline_chrom,left_cheek,baseline_chrom,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_chrom
1,3.999996,right_cheek_baseline_pos,right_cheek,baseline_pos,insufficient_observed_roi,0.12777777777777777,0.12502226943676914,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_pos
1,3.999996,right_cheek_baseline_chrom,right_cheek,baseline_chrom,insufficient_observed_roi,0.12777777777777777,0.12502226943676914,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_chrom
1,3.999996,forehead_tracked_pos,forehead,tracked_pos,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_pos
1,3.999996,forehead_tracked_chrom,forehead,tracked_chrom,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_chrom
1,3.999996,left_cheek_tracked_pos,left_cheek,tracked_pos,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_pos
1,3.999996,left_cheek_tracked_chrom,left_cheek,tracked_chrom,insufficient_observed_roi,0.12777777777777777,0.12777777777777777,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_chrom
1,3.999996,right_cheek_tracked_pos,right_cheek,tracked_pos,insufficient_observed_roi,0.12777777777777777,0.12502226943676914,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_pos
1,3.999996,right_cheek_tracked_chrom,right_cheek,tracked_chrom,insufficient_observed_roi,0.12777777777777777,0.12502226943676914,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_chrom
2,4.999995,forehead_baseline_pos,forehead,baseline_pos,insufficient_observed_roi,0.25555555555555554,0.255548792858592,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_pos
2,4.999995,forehead_baseline_chrom,forehead,baseline_chrom,insufficient_observed_roi,0.25555555555555554,0.255548792858592,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_chrom
2,4.999995,left_cheek_baseline_pos,left_cheek,baseline_pos,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_pos
2,4.999995,left_cheek_baseline_chrom,left_cheek,baseline_chrom,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_chrom
2,4.999995,right_cheek_baseline_pos,right_cheek,baseline_pos,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_pos
2,4.999995,right_cheek_baseline_chrom,right_cheek,baseline_chrom,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_chrom
2,4.999995,forehead_tracked_pos,forehead,tracked_pos,insufficient_observed_roi,0.25555555555555554,0.255548792858592,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_pos
2,4.999995,forehead_tracked_chrom,forehead,tracked_chrom,insufficient_observed_roi,0.25555555555555554,0.255548792858592,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_chrom
2,4.999995,left_cheek_tracked_pos,left_cheek,tracked_pos,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_pos
2,4.999995,left_cheek_tracked_chrom,left_cheek,tracked_chrom,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_chrom
2,4.999995,right_cheek_tracked_pos,right_cheek,tracked_pos,insufficient_observed_roi,0.25555555555555554,0.25555555555555554,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_pos
