branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
baseline,left_cheek,0,510,810,cdf_applied,True,300,0.0,0.6412546965075329
baseline,left_cheek,0,540,840,cdf_applied,True,300,0.0,0.6893323249235354
baseline,left_cheek,0,570,870,cdf_applied,True,300,0.0,0.5280840252251267
baseline,left_cheek,0,600,900,cdf_applied,True,300,0.0,0.5151364938702439
baseline,left_cheek,0,630,930,cdf_applied,True,300,0.0,0.38297042182399454
baseline,left_cheek,0,660,960,cdf_applied,True,300,0.0,0.5199032989524011
baseline,left_cheek,0,690,990,cdf_applied,True,300,0.0,0.7145294133839529
baseline,left_cheek,0,720,1020,cdf_applied,True,300,0.0,0.7020281281111551
baseline,left_cheek,0,750,1050,cdf_applied,True,300,0.0,0.33658943102086963
baseline,left_cheek,0,780,1080,cdf_applied,True,300,0.0,0.3565304314451673
baseline,left_cheek,0,810,1110,cdf_applied,True,300,0.0,0.3564974134254491
baseline,left_cheek,0,840,1140,cdf_applied,True,300,0.0,0.49674055025475755
baseline,left_cheek,0,870,1170,cdf_applied,True,300,0.0,0.4473036999449398
baseline,left_cheek,0,900,1200,cdf_applied,True,300,0.0,0.4249721038700868
baseline,left_cheek,0,930,1230,cdf_applied,True,300,0.0,0.6173100682341952
baseline,left_cheek,0,960,1260,cdf_applied,True,300,0.0,0.4504919487151729
baseline,left_cheek,0,990,1290,cdf_applied,True,300,0.0,0.7780926502736707
baseline,left_cheek,0,1020,1320,cdf_applied,True,300,0.0,0.5072415824443202
baseline,left_cheek,0,1050,1350,cdf_applied,True,300,0.0,0.6148750296389979
baseline,left_cheek,0,1080,1380,cdf_applied,True,300,0.0,0.46312862672620825
baseline,left_cheek,0,1110,1410,cdf_applied,True,300,0.0,0.9654160219119238
baseline,left_cheek,0,1140,1440,cdf_applied,True,300,0.0,0.9149643599130296
baseline,left_cheek,0,1170,1470,cdf_applied,True,300,0.0,0.37105800546338236
baseline,left_cheek,0,1200,1500,cdf_applied,True,300,0.0,0.8602492931971206
baseline,left_cheek,0,1230,1530,cdf_applied,True,300,0.0,0.4476335987284836
baseline,left_cheek,0,1260,1560,cdf_applied,True,300,0.0,0.36321955179413107
baseline,left_cheek,0,1290,1590,cdf_applied,True,300,0.0,0.3677382154556467
baseline,left_cheek,0,1320,1620,cdf_applied,True,300,0.0,0.6971449505599824
baseline,left_cheek,0,1350,1650,cdf_applied,True,300,0.0,0.5723089624585225
baseline,left_cheek,0,1380,1680,cdf_applied,True,300,0.0,0.7266959264456617
baseline,left_cheek,0,1410,1710,cdf_applied,True,300,0.0,0.3792026704862375
