stage,case,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,baseline_MAE_bpm,delta_MAE_bpm,delta_R5_pp,delta_hr_coverage_pp,waveform_coverage_pct,baseline_waveform_coverage_pct,delta_waveform_coverage_pp,common_windows,new_windows,lost_windows,common_MAE_bpm,common_baseline_MAE_bpm,new_MAE_bpm,lost_baseline_MAE_bpm,correct_new_windows,lost_correct_windows,mean_hr_bpm,sync_status
stage4_preserve_waveform,data1,42,37,42,37,0,10,88.0952380952381,88.0952380952381,13.097297297297297,13.722106843200729,-13.097297297297297,12.137484816783646,0.0,27.027027027027028,0.0,23.80952380952381,20.359999999999996,20.900000000000006,-21.231295524439908,-4.963299070154687,13.097297297297297,0.0,0.0,0.0,88.7459807073955,88.7459807073955,0.0,37,0,0,13.097297297297297,13.097297297297297,,,0,0,93.62162162162163,fixed_original_estimated_timestamps_not_hardware_sync
stage4_preserve_waveform,data2,37,33,37,33,29,32,89.1891891891892,89.1891891891892,3.0151515151515142,3.8112671876631223,1.2212121212121207,3.7968857391937623,87.87878787878788,96.96969696969697,78.37837837837837,86.48648648648648,8.519999999999994,10.299999999999997,-5.964727270363201,8.407151512787443,3.16060606060606,-0.14545454545454595,0.0,0.0,90.45226130653266,90.45226130653266,0.0,33,0,0,3.0151515151515142,3.16060606060606,,,0,0,80.12121212121212,fixed_original_estimated_timestamps_not_hardware_sync
stage4_preserve_waveform,data3,65,59,65,59,11,19,90.76923076923077,90.76923076923077,32.87118644067797,39.71790784255675,-32.20677966101695,31.333178347588884,18.64406779661017,32.20338983050848,16.923076923076923,29.23076923076923,59.53,60.8,-78.15404400157442,13.740484679540515,43.952542372881354,-11.081355932203387,16.923076923076923,0.0,91.85051778478163,91.85051778478163,0.0,59,0,0,32.87118644067797,43.952542372881354,,,0,0,70.42372881355932,fixed_original_estimated_timestamps_not_hardware_sync
stage4_preserve_waveform,data4,50,46,50,46,45,46,92.0,92.0,2.556521739130435,2.891742366298125,-0.09130434782608701,3.318757300560302,97.82608695652173,100.0,90.0,92.0,4.650000000000002,5.799999999999997,-5.818891945319164,5.63628324966699,2.78695652173913,-0.230434782608695,-2.0,0.0,92.58393341438324,92.58393341438324,0.0,46,0,0,2.556521739130435,2.78695652173913,,,0,0,76.84782608695652,fixed_original_estimated_timestamps_not_hardware_sync
stage4_preserve_waveform,data5,53,49,53,49,8,14,92.45283018867924,92.45283018867924,60.72244897959183,70.9219231526717,60.72244897959183,61.99510405185617,16.3265306122449,28.571428571428573,15.09433962264151,26.41509433962264,95.5,95.8,-11.841938337236428,133.2868362964201,86.2734693877551,-25.551020408163268,15.09433962264151,0.0,93.2475884244373,93.2475884244373,0.0,49,0,0,60.72244897959183,86.2734693877551,,,0,0,158.12244897959184,fixed_original_estimated_timestamps_not_hardware_sync
stage4_preserve_waveform,data6,62,36,62,36,0,0,58.064516129032256,58.064516129032256,26.002777777777776,27.781553632261502,-26.002777777777776,22.442260870913515,0.0,0.0,0.0,0.0,47.875,51.30000000000001,-45.44571166932592,-6.559843886229636,73.41388888888888,-47.4111111111111,0.0,0.0,75.41899441340783,75.41899441340783,0.0,36,0,0,26.002777777777776,73.41388888888888,,,0,0,88.25,fixed_original_estimated_timestamps_not_hardware_sync
