frame,time_s,source,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,face_detected,flow_available,bridge_age_frames,is_bridge,valid_patch_count,anchor_initialized
0,0.0,mesh,nan,nan,0.42729444742202755,0.16014852315187453,0.5481273603439331,0.4164837265014648,True,False,0,False,12,True
1,0.0055555,mesh,-6.606667130081743e-05,8.53527475286413e-06,0.42667785108089445,0.15882289558649063,0.5470685708522797,0.41591652095317844,True,True,0,False,12,True
2,0.011111,mesh,6.06607507776331e-05,-1.0893190348589862e-05,0.42689088940620423,0.15837276160717012,0.5475626564025879,0.41524495005607603,True,True,0,False,12,True
3,0.0166665,mesh,-3.3555207429108797e-07,-4.178903720996998e-05,0.4269635438919067,0.15805103480815888,0.5471072721481323,0.4145562469959259,True,True,0,False,12,True
4,0.022222,mesh,-2.0357414528175635e-05,2.3036312173914026e-05,0.42684917747974394,0.15812053948640822,0.547556915283203,0.41393198013305665,True,True,0,False,12,True
5,0.0277775,mesh,5.557978594744647e-05,-6.978114446004232e-05,0.4268427908420563,0.15820269852876662,0.5473541224002838,0.4142804205417633,True,True,0,False,12,True
6,0.033333,mesh,-0.00010471873813205295,2.546740902794732e-05,0.4268540626764298,0.1584195873141289,0.5473207485675811,0.4143245732784271,True,True,0,False,12,True
7,0.0388885,mesh,7.941457960340712e-05,-9.497669008043077e-05,0.4268583792448044,0.15770754009485244,0.5477392375469208,0.4140687745809555,True,True,0,False,12,True
8,0.044444,mesh,-4.840250368471499e-05,4.141628742218018e-05,0.4269867569208145,0.15747327774763106,0.5479407441616058,0.4138971227407455,True,True,0,False,12,True
9,0.0499995,mesh,6.002496790002894e-05,4.8040239899246785e-06,0.4265449351072312,0.15747016966342925,0.5474934005737304,0.4139934468269348,True,True,0,False,12,True
10,0.055555,mesh,-4.976590474446614e-05,4.8055582576327857e-05,0.4268756824731827,0.15768553882837294,0.5474544072151184,0.4139517360925674,True,True,0,False,12,True
11,0.0611105,mesh,-4.955574318214699e-06,2.1652491004378708e-05,0.4268708389997482,0.15785669803619384,0.5478149342536925,0.4141120702028275,True,True,0,False,12,True
12,0.066666,mesh,-2.1710219206633392e-05,1.7534858650631376e-05,0.4268848514556885,0.15818934738636017,0.5470846056938171,0.41371100425720214,True,True,0,False,12,True
13,0.0722215,mesh,-7.256225303367332e-05,4.077134308991609e-05,0.42646112740039827,0.15774411857128143,0.5474644100666046,0.41363939464092253,True,True,0,False,12,True
14,0.077777,mesh,8.052543357566552e-05,-4.888110690646701e-05,0.42697180569171905,0.15803269028663636,0.5474848186969757,0.4138350856304168,True,True,0,False,12,True
15,0.0833325,mesh,-9.227682043004918e-05,1.4091310677704987e-05,0.4266844356060028,0.15780636727809907,0.5474055194854736,0.41420191705226894,True,True,0,False,12,True
16,0.088888,mesh,0.00010141973142270689,-0.00012618170844184027,0.42692775785923004,0.15795683085918427,0.5476348531246185,0.41413921833038325,True,True,0,False,12,True
17,0.0944435,mesh,-8.27824627911603e-05,-4.129498093216507e-06,0.42709973037242893,0.1581238716840744,0.5476511633396149,0.41369833707809445,True,True,0,False,12,True
18,0.099999,mesh,6.688965691460503e-05,-7.604835210023103e-05,0.42697698533535006,0.15805833995342256,0.5475965642929077,0.41395668745040887,True,True,0,False,12,True
19,0.1055545,mesh,-9.323402687355324e-05,-3.951175345314874e-05,0.42666255950927734,0.15742024689912798,0.5475266098976135,0.41403026342391963,True,True,0,False,12,True
