time_s,base,observed,interpolated
9.4999905,0.277770258775665,True,False
9.5333238,-0.3493010849785201,True,False
9.566657099999999,-0.5207498639122169,True,False
9.5999904,-0.17641664625359324,True,False
9.6333237,0.5396029475374655,True,False
9.666656999999999,1.3313102539436932,True,False
9.6999903,1.8578620992674104,True,False
9.7333236,1.8614181830462393,True,False
9.7666569,1.2733637041485661,True,False
9.7999902,0.255945546298251,True,False
9.833323499999999,-0.848426255657825,True,False
9.8666568,-1.6530704760652537,True,False
9.8999901,-1.8942142678761495,True,False
9.933323399999999,-1.5471610662695139,True,False
9.9666567,-0.8306368239694819,True,False
9.99999,-0.10142304009702469,True,False
10.0333233,0.3006877712866358,True,False
10.0666566,0.1844625211668776,True,False
10.099989899999999,-0.42935715011161063,True,False
10.1333232,-1.322544995094686,True,False
10.1666565,-2.1599647385989607,True,False
10.199989799999999,-2.610569044767744,True,False
10.2333231,-2.4717411887784517,True,False
10.266656399999999,-1.7514488953033698,True,False
10.2999897,-0.6674367176863838,True,False
10.333323,0.4439485335395934,True,False
10.366656299999999,1.2673239057098977,True,False
10.3999896,1.6293317578887547,True,False
10.4333229,1.5522536088134196,True,False
10.4666562,1.2278125222490133,True,False
10.4999895,0.9264688838909666,True,False
10.533322799999999,0.875664691205112,True,False
10.5666561,1.154694169029227,True,False
10.5999894,1.6538805609312153,True,False
10.633322699999999,2.1207842467037654,True,False
10.666656,2.274821038006633,True,False
10.699989299999999,1.9354767597933096,True,False
10.7333226,1.1015621009338767,True,False
10.7666559,-0.050062919259269464,True,False
10.799989199999999,-1.2326598258551003,True,False
10.8333225,-2.148155095921332,True,False
10.8666558,-2.580654892840605,True,False
10.899989099999999,-2.456802974206771,True,False
10.9333224,-1.8572844071044925,True,False
10.966655699999999,-0.982295409775199,True,False
10.999989,-0.08655418254484899,True,False
11.0333223,0.5975105370637688,True,False
11.066655599999999,0.9278684113065168,True,False
11.0999889,0.8902919059885787,True,False
11.1333222,0.5900156327996241,True,False
11.1666555,0.2000982948875884,True,False
11.1999888,-0.11091810841356169,True,False
11.233322099999999,-0.24026685496781058,True,False
11.2666554,-0.17740844536786793,True,False
11.2999887,0.011320843785736365,True,False
11.333321999999999,0.2285007092422262,True,False
11.3666553,0.39373007431305285,True,False
11.399988599999999,0.4657204250113636,True,False
11.4333219,0.4338725798476317,True,False
11.4666552,0.2997218961299073,True,False
11.499988499999999,0.06987314401240147,True,False
11.5333218,-0.23487892562864493,True,False
11.5666551,-0.5649728996659741,True,False
11.599988399999999,-0.8389616778618852,True,False
11.6333217,-0.9663828278514247,True,False
11.666654999999999,-0.8973720020152178,True,False
11.6999883,-0.6720559491271986,True,False
11.7333216,-0.4204631319530204,True,False
11.766654899999999,-0.28772751500268184,True,False
11.7999882,-0.3278373231932424,True,False
11.8333215,-0.44930167111677316,True,False
11.8666548,-0.4590428693737385,True,False
11.8999881,-0.1782875933449557,True,False
11.933321399999999,0.43928081933008095,True,False
11.9666547,1.2537981721532827,True,False
11.999988,1.9823196165414425,True,False
12.033321299999999,2.3225233377293146,True,False
12.0666546,2.0967590065650015,True,False
12.099987899999999,1.3433710119483633,True,False
12.1333212,0.3115879378790242,True,False
12.1666545,-0.6362113921434969,True,False
12.199987799999999,-1.1734166443819474,True,False
12.2333211,-1.146575905370051,True,False
12.2666544,-0.6397736849780216,True,False
12.299987699999999,0.06401749211798025,True,False
12.333321,0.6070437802504002,True,False
12.366654299999999,0.7114387019053829,True,False
12.3999876,0.29844566014810914,True,False
12.4333209,-0.4769802212371586,True,False
12.466654199999999,-1.2895834534684385,True,False
12.4999875,-1.7778851486464071,True,False
12.533320799999998,-1.6919823995973686,True,False
12.5666541,-0.9951990722411711,True,False
12.5999874,0.11560140373331403,True,False
12.633320699999999,1.273057442558504,True,False
12.666654,2.063348230213896,True,False
12.6999873,2.171771326713954,True,False
12.733320599999999,1.4986724841369026,True,False
12.7666539,0.20199336660641684,True,False
12.799987199999999,-1.3475388676260225,True,False
12.8333205,-2.68246025812471,True,False
12.8666538,-3.3902472856172774,True,False
12.899987099999999,-3.2499709047786687,True,False
12.9333204,-2.303154356463898,True,False
12.9666537,-0.8329724834716289,True,False
12.999986999999999,0.7405976821548288,True,False
13.0333203,2.012823531594662,True,False
13.066653599999999,2.7331487296196575,True,False
13.0999869,2.8707584044863608,True,False
13.1333202,2.5819930354202545,True,False
13.166653499999999,2.102944173955534,True,False
13.1999868,1.6238615995679666,True,False
13.233320099999998,1.210476412305779,True,False
13.2666534,0.8131122511452726,True,False
13.2999867,0.34779833446974756,True,False
13.333319999999999,-0.2188427400519834,True,False
13.3666533,-0.842423326693884,True,False
13.3999866,-1.430154536259655,True,False
13.433319899999999,-1.8815970307447363,True,False
13.4666532,-2.113625632251891,True,False
13.499986499999999,-2.0785018481991364,True,False
13.5333198,-1.7833923602681807,True,False
13.5666531,-1.296582085618789,True,False
13.599986399999999,-0.7291097206886139,True,False
13.6333197,-0.2049423003184285,True,False
13.666653,0.16640522664439025,True,False
13.699986299999999,0.31864715493654777,True,False
13.7333196,0.26004655635947327,True,False
13.766652899999999,0.08689428441381196,True,False
13.7999862,-0.045012716173820154,True,False
13.8333195,0.012610100006292676,True,False
13.866652799999999,0.3294621921045096,True,False
13.8999861,0.8594502819730447,True,False
13.933319399999998,1.4538180951821362,True,False
13.9666527,1.9151122745987605,True,False
13.999986,2.066432478408623,True,False
14.033319299999999,1.8120076615003275,True,False
14.0666526,1.1768561847592183,True,False
14.0999859,0.315219644579768,True,False
14.133319199999999,-0.5274316230922366,True,False
14.1666525,-1.0994542627810755,True,False
14.199985799999999,-1.2417826061157513,True,False
14.2333191,-0.9503872694553034,True,False
14.2666524,-0.37287871308740544,True,False
14.299985699999999,0.2548964431708164,True,False
14.333319,0.7017465037283798,True,False
14.3666523,0.8248377353226717,True,False
14.399985599999999,0.6116283867275708,True,False
14.4333189,0.16686031728049275,True,False
14.466652199999999,-0.3417057669668219,True,False
14.4999855,-0.7487494473379762,True,False
14.5333188,-0.944417448363176,True,False
14.566652099999999,-0.9059066144613289,True,False
14.5999854,-0.7011845339310196,True,False
14.633318699999998,-0.4588530680860115,True,False
14.666652,-0.31405413231388424,True,False
14.6999853,-0.3553796280210712,True,False
14.733318599999999,-0.5913355802289023,True,False
14.7666519,-0.9418263714378544,True,False
14.7999852,-1.2594020283734995,True,False
14.833318499999999,-1.3849679573062479,True,False
14.8666518,-1.223054327442379,True,False
14.899985099999999,-0.7939558075236983,True,False
14.9333184,-0.2228167563512066,True,False
14.9666517,0.3304400454635753,True,False
14.999984999999999,0.7534520338447782,True,False
15.0333183,1.02565586697601,True,False
15.066651599999998,1.20310010629592,True,False
15.099984899999999,1.3596291657354278,True,False
15.1333182,1.5262920517946947,True,False
15.166651499999999,1.667968049767372,True,False
15.1999848,1.7053293933064742,True,False
15.2333181,1.5593789911257636,True,False
15.266651399999999,1.1893529495648314,True,False
15.2999847,0.6108708258560319,True,False
15.333317999999998,-0.10250799577327918,True,False
15.3666513,-0.8314505203100113,True,False
15.3999846,-1.4377635543167326,True,False
15.433317899999999,-1.7984210196536676,True,False
15.4666512,-1.833075602998872,True,False
15.4999845,-1.5221606912375545,True,False
15.533317799999999,-0.9204984704179481,True,False
15.5666511,-0.16011213255191448,True,False
15.599984399999999,0.5755073752896959,True,False
15.6333177,1.1119540095780374,True,False
15.666651,1.3547323512565168,True,False
15.699984299999999,1.3245432083778876,True,False
15.7333176,1.1295184071491888,True,False
15.766650899999998,0.8935624803475544,True,False
15.799984199999999,0.6886442285551775,True,False
15.8333175,0.5089463427119749,True,False
15.866650799999999,0.29342076668327066,True,False
15.8999841,-0.02632892155765165,True,False
15.9333174,-0.4844457195045983,True,False
15.966650699999999,-1.0601964832537218,True,False
15.999984,-1.673117858945412,True,False
16.0333173,-2.189803435355675,True,False
16.0666506,-2.4521551885305226,True,False
16.099983899999998,-2.331482843919103,True,False
16.1333172,-1.7851248864434202,True,False
16.1666505,-0.8839429820822254,True,False
16.1999838,0.1972784692321653,True,False
16.2333171,1.2199426178277673,True,False
16.2666504,1.9506836152497475,True,False
16.2999837,2.2449337752956215,True,False
16.333316999999997,2.102474950964502,True,False
16.3666503,1.6571038509725444,True,False
16.3999836,1.1057964579252644,True,False
16.433316899999998,0.6200403881270717,True,False
16.4666502,0.28502885098188896,True,False
16.4999835,0.08791677230199522,True,False
16.533316799999998,-0.05299108079656644,True,False
16.5666501,-0.2380222915006414,True,False
16.5999834,-0.5313244177018323,True,False
16.633316699999998,-0.9195026336572139,True,False
16.66665,-1.3038824199291377,True,False
16.6999833,-1.5316890193591866,True,False
16.7333166,-1.4516302673756796,True,False
16.7666499,-0.9750571859456778,True,False
16.7999832,-0.12947966785653472,True,False
16.8333165,0.9115218392839128,True,False
16.866649799999998,1.8497680633685705,True,False
16.8999831,2.3572794201296525,True,False
16.9333164,2.2225124325385472,True,False
16.966649699999998,1.4717468635874131,True,False
16.999983,0.38065732802653157,True,False
17.0333163,-0.6483903905100121,True,False
17.066649599999998,-1.2779222547572018,True,False
17.0999829,-1.3841535917719066,True,False
17.1333162,-1.085507012995215,True,False
17.1666495,-0.6508531510854543,True,False
17.1999828,-0.3506541577319754,True,False
17.2333161,-0.33692709507668267,True,False
17.2666494,-0.60657029599491,True,False
17.299982699999997,-1.0359325233590908,True,False
17.333316,-1.4428591853721924,True,False
17.3666493,-1.6543670642442236,True,False
17.399982599999998,-1.5680296384562196,True,False
17.4333159,-1.180132012725088,True,False
17.4666492,-0.5685231419891376,True,False
17.499982499999998,0.14493540221493764,True,False
17.5333158,0.8246529606467639,True,False
17.5666491,1.3451619164050008,True,False
17.5999824,1.6212897939753477,True,False
17.6333157,1.6390712162693557,True,False
17.666649,1.464449974107183,True,False
17.6999823,1.216317239008973,True,False
17.733315599999997,1.0162112564774253,True,False
17.7666489,0.9420605796770961,True,False
17.7999822,1.0059644822930103,True,False
17.833315499999998,1.1569896058448037,True,False
17.8666488,1.2994838291907576,True,False
17.8999821,1.3222264645176218,True,False
17.933315399999998,1.1373865445679492,True,False
17.9666487,0.7188565738698733,True,False
17.999982,0.12162089698301437,True,False
18.033315299999998,-0.5289829865304985,True,False
18.0666486,-1.0764310542767548,True,False
18.0999819,-1.3907185327218434,True,False
18.1333152,-1.4254517245532357,True,False
18.1666485,-1.244887323213975,True,False
18.1999818,-0.9976865883109967,True,False
18.2333151,-0.8436639487227529,True,False
18.266648399999998,-0.8720284343236382,True,False
18.2999817,-1.0580656719542905,True,False
18.333315,-1.28174354119062,True,False
18.366648299999998,-1.3928491832792125,True,False
18.3999816,-1.2834604261066254,True,False
18.4333149,-0.9356577190255494,True,False
18.466648199999998,-0.4324676588098505,True,False
18.4999815,0.06990599072438808,True,False
18.5333148,0.404393740590464,True,False
18.5666481,0.46947571975562474,True,False
18.5999814,0.2827872745220239,True,False
18.6333147,-0.01960987275216265,True,False
18.666648,-0.2401974769896319,True,False
18.699981299999997,-0.20548279120968196,True,False
18.7333146,0.15655265057591317,True,False
18.7666479,0.7771268966252228,True,False
18.799981199999998,1.464962118892176,True,False
18.8333145,1.9821771444279614,True,False
18.8666478,2.1467509659265906,True,False
18.899981099999998,1.909278011595037,True,False
18.9333144,1.3645201650890684,True,False
18.9666477,0.6983542476960655,True,False
18.999981,0.10557369209891117,True,False
19.0333143,-0.2803733770893374,True,False
19.0666476,-0.42348361909222176,True,False
19.0999809,-0.3844113093832561,True,False
19.133314199999997,-0.28705175063453986,True,False
19.1666475,-0.261301679863385,True,False
19.1999808,-0.3831301669706339,True,False
19.233314099999998,-0.6416612633865326,True,False
19.2666474,-0.9491616371490407,True,False
19.2999807,-1.1829179644206609,True,False
19.333313999999998,-1.2371016779854012,True,False
19.3666473,-1.0679368502227538,True,False
19.3999806,-0.7163727443688215,True,False
19.433313899999998,-0.2943400222309311,True,False
19.4666472,0.06287371742993461,True,False
19.4999805,0.2558817732449953,True,False
19.5333138,0.26419089393260947,True,False
19.566647099999997,0.15354002073054465,True,False
19.5999804,0.042634516614632384,True,False
19.6333137,0.042394018282505316,True,False
19.666646999999998,0.19836540323937993,True,False
19.6999803,0.46883713715338454,True,False
