time_s,base,covered,observed,interpolated,candidate_weight,source,protected_sample,v31_candidate_weight,v31_modified_sample,v31_source
2.5999974,0.0591370007952349,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.6333307,-0.2429677190266309,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.666664,-0.3144282468469009,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.6999973,-0.124571771635075,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.7333306,0.2345548216834789,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.7666639,0.5826134234589367,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.7999972,0.7271623768821412,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.8333305,0.5499602385165133,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.8666638,0.0655331960737633,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.8999971,-0.5760442690345358,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.9333304,-1.1477277550599003,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.9666637,-1.4422663580983937,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
2.999997,-1.3622566251351953,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.0333303,-0.9604702993684058,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.0666636,-0.4122343868633187,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.0999969,0.0637182977576678,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.1333302,0.2972211518720419,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.1666635,0.2326200813685083,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.1999968,-0.0571175314687518,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.2333301,-0.4105269566618916,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.2666634,-0.6497132067008116,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.2999967,-0.6512147900377966,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.33333,-0.3898605402266203,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.3666633,0.0549565177678121,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.3999966,0.5294611669114921,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.4333299,0.8638774970785887,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.4666632,0.940942737692256,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.4999965,0.7456129836755241,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.5333298,0.3703504141061797,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.5666631,-0.026857803282865,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.5999964,-0.2897551172765986,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.6333297,-0.3258193966394442,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.666663,-0.1401218706367585,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.6999963,0.1691529165034602,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.7333296,0.4517435933728531,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.7666629,0.5682373624762446,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.7999962,0.448834543733042,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.8333295,0.1220690994268178,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.8666628,-0.2974670969977465,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.8999961,-0.6550068312303444,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.9333294,-0.8164928637534715,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.9666627,-0.7214498723220507,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
3.999996,-0.4070759129514048,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.0333293,0.0054117731197875,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.0666626,0.3579792648685331,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.0999959,0.5204194333160843,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.1333292,0.4469569184618299,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.1666625,0.1967150819363243,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.1999958,-0.0960610458986124,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.2333291,-0.2878143483455893,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.2666624,-0.2933426048475183,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.2999957,-0.1235487135802095,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.333329,0.1209426464290774,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.3666623,0.2949556855524194,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.3999956,0.271981661107509,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.433328899999999,0.0028457428397548,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.4666622,-0.4571005297772292,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.4999955,-0.9651321139222656,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.5333288,-1.3423650030967678,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.566662099999999,-1.441289451215175,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.5999954,-1.2037926122151508,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.6333287,-0.6876188612884427,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.666662,-0.0478885821298502,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.699995299999999,0.5217891879770686,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
4.7333286,0.8642166848400267,True,True,False,0.0,old_waveform,True,0.0,False,original_v28
