window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap,routing_mode,baseline_pulse_support,tracked_pulse_support,baseline_motion_risk,tracked_motion_risk,baseline_ambiguity,tracked_ambiguity,baseline_contributing_roi_count,tracked_contributing_roi_count,motion_available,motion_status,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability
0,4.99995,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9994444444444445,0.9994444444444445,0.0005555555555555556,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,0.9994444444444445,0.05585702246266991,0.04754658073068137,0.9994444444444445
1,5.99994,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,1.0,0.056255215989025255,0.048194109897122236,1.0
2,6.99993,baseline,only_baseline_qualified_evidence,76.0,75.0,0.8500036721178994,0.0,True,False,False,1.0,1.0,0.0,0.01827892552336913,0.017859029614304946,evidence,0.857167305425804,0.0,0.018571852925221847,0.01903719246048491,0.0,0.4437087694520263,3,0,True,observed_motion,1.0,0.05702758260515581,0.04946067035523118,1.0
3,7.9999199999999995,baseline,baseline_evidence_retained,76.0,75.0,0.8357901844004411,0.5945356626432856,True,True,True,1.0,1.0,0.0,0.02634971840567065,0.025804787184917924,evidence,0.845791537058094,0.7088305841882268,0.026277430258315686,0.02732040564134797,0.0,0.3016083481615429,3,2,True,observed_motion,1.0,0.05758020733626212,0.05037538680776387,1.0
4,8.99991,baseline,baseline_evidence_retained,75.0,75.0,0.816796484969212,0.6490881005461492,True,True,True,1.0,1.0,0.0,0.036765467532582995,0.03529136469045886,evidence,0.8307187626819277,0.7421199735643674,0.03724292300472794,0.03724292300472794,0.0,0.22090277546838197,3,2,True,observed_motion,1.0,0.05759487839049196,0.05039976674731013,1.0
5,9.9999,baseline,baseline_evidence_retained,74.0,76.0,0.8159968454430695,0.6438263290553792,True,True,True,1.0,1.0,0.0,0.042216925070753517,0.03436853318614491,evidence,0.8317990445143535,0.7317729273799428,0.042216925070753517,0.03241682957849616,0.0,0.21431703460473087,3,2,True,observed_motion,1.0,0.058763487486688366,0.05235758405023516,1.0
6,10.99989,baseline,baseline_evidence_retained,73.0,75.0,0.8314857697298276,0.6267402804011588,True,True,True,1.0,1.0,0.0,0.04910023987303036,0.03892327877706464,evidence,0.8504351742062366,0.7259696037155949,0.04951557626324307,0.037022407153803824,0.0,0.24411731119484617,3,3,True,observed_motion,1.0,0.05862046934608777,0.05211630511984346,1.0
7,11.99988,baseline,baseline_evidence_retained,72.0,74.0,0.8435827385295398,0.7175104500704549,True,True,True,1.0,1.0,0.0,0.05038374980662873,0.04813107711250287,evidence,0.8628680824884873,0.7336994124774344,0.049667290723253855,0.04903298463063262,0.0,0.0,3,3,True,observed_motion,1.0,0.05848948144900591,0.05189573021209633,1.0
8,12.99987,baseline,baseline_evidence_retained,72.0,74.0,0.846148882500738,0.6311438158878484,True,True,True,1.0,1.0,0.0,0.04600939410644718,0.04429674281330964,evidence,0.8626080819520026,0.7403338703594846,0.042401641656103814,0.05208809623874449,0.0,0.25405074171698044,3,3,True,observed_motion,1.0,0.0586037304978934,0.05208809623874449,1.0
9,13.99986,baseline,baseline_evidence_retained,74.0,74.0,0.8314778933757753,0.5473101519419418,True,True,True,1.0,1.0,0.0,0.04631645862538937,0.04658980244368229,evidence,0.8501983890930347,0.6606419514791295,0.04893105200809495,0.04893105200809495,0.0,0.3057912444427813,3,3,True,observed_motion,1.0,0.058802835234422,0.05242404726096525,1.0
10,14.99985,baseline,baseline_evidence_retained,75.0,75.0,0.8112379586444192,0.522488118347817,True,True,True,1.0,1.0,0.0,0.04985933095536021,0.04837037545370802,evidence,0.829558362508795,0.6283185876748636,0.04907672615628691,0.04907672615628691,0.0,0.29930987942986087,3,2,True,observed_motion,1.0,0.05865484825698265,0.0521742616351795,1.0
11,15.999839999999999,baseline,baseline_evidence_retained,78.0,76.0,0.8048361635486022,0.42820429586181114,True,True,True,1.0,1.0,0.0,0.05145767619824298,0.05132767038329577,evidence,0.8238428542103873,0.6014419208877705,0.05126838224506351,0.05190333306480529,0.0,0.5420210420554762,3,2,True,observed_motion,1.0,0.05849400025118185,0.05190333306480529,1.0
12,16.99983,baseline,only_baseline_qualified_evidence,79.0,,0.8198380424130565,0.0,True,False,False,1.0,1.0,0.0,0.033139826711489635,0.03714915531378665,evidence,0.8323534613687462,0.0,0.0334137399729438,,0.0,0.9308818022719668,3,0,True,observed_motion,1.0,0.05785861573006848,0.05083888292365251,1.0
13,17.99982,baseline,only_baseline_qualified_evidence,81.0,57.0,0.8333540986036181,0.0,True,False,False,1.0,1.0,0.0,0.006568520085954864,0.00667109055332526,evidence,0.8356221235464123,0.0,0.006031500706373626,0.0026340002854566024,0.0,0.7505058524947004,3,0,True,observed_motion,1.0,0.05771402657039375,0.050597947385196324,1.0
14,18.99981,baseline,only_baseline_qualified_evidence,82.0,61.0,0.8395895640758229,0.0,True,False,False,1.0,1.0,0.0,0.004962451189587572,0.007628453846499995,evidence,0.8421341061587801,0.0,0.006714533850100324,0.009560463060948994,0.0,0.5904098526555432,3,0,True,observed_motion,1.0,0.057822006138769116,0.05077783325823385,1.0
15,19.9998,baseline,only_baseline_qualified_evidence,81.0,63.0,0.8331304661994784,0.0,True,False,False,1.0,1.0,0.0,0.01097640371956439,0.007100569032356086,evidence,0.8372660427471219,0.0,0.01097640371956439,0.007692058197454062,0.0,0.6600445924189745,3,0,True,observed_motion,1.0,0.056314945147749616,0.04829155992710297,1.0
16,20.99979,baseline,only_baseline_qualified_evidence,79.0,64.0,0.8209696545970361,0.0,True,False,False,1.0,1.0,0.0,0.01563529053665602,0.009294773346124883,evidence,0.8264746905350715,0.0,0.014801921142575022,0.010831381320480346,0.0,0.5244763711379734,3,0,True,observed_motion,1.0,0.05653166482556341,0.048645845107238316,1.0
