window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap,routing_mode,baseline_pulse_support,tracked_pulse_support,baseline_motion_risk,tracked_motion_risk,baseline_ambiguity,tracked_ambiguity,baseline_contributing_roi_count,tracked_contributing_roi_count,motion_available,motion_status,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability
0,4.999995,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9966666666666667,0.9966666666666667,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,0.9966666666666667,0.044588831812120505,0.030829904302484223,0.9966666666666667
1,5.999994,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,1.0,0.04695638321914441,0.03407627334908997,1.0
2,6.999993,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,1.0,1.0,0.0,0.009447937368456174,0.018635114002047204,evidence,0.0,0.0,,,0.9315141610274124,0.9292364121861982,0,0,True,observed_motion,1.0,0.04818813572768067,0.03582260607074497,1.0
3,7.999992,none,insufficient_branch_evidence,,77.0,0.0,0.0,False,False,False,1.0,1.0,0.0,0.01628930841326306,0.02763105958152433,evidence,0.0,0.0,,0.028548816995854293,0.9405323942651521,0.6411297237357435,0,0,True,observed_motion,1.0,0.06031260256083318,0.05500062711881556,1.0
4,8.999991,baseline,only_baseline_qualified_evidence,108.0,,0.4275151187280731,0.0,True,False,False,1.0,1.0,0.0,0.05048990497465427,0.04523937898902112,evidence,0.5795062464049647,0.0,0.0513174732052584,,0.48967618839652105,0.8595902743309854,2,0,True,observed_motion,1.0,0.0939151307632856,0.12366861163694703,1.0
5,9.99999,tracked,disagreement_resolved_tracked_evidence,111.0,80.0,0.3553908273767797,0.5886645089983489,True,True,True,1.0,1.0,0.0,0.15910753735508404,0.05813421566785109,evidence,0.5831940429030216,0.6014961240211402,0.15729452796541374,0.04740629060087687,0.688386831694222,0.0,2,2,True,observed_motion,1.0,0.15052281561104788,0.2660625270842924,1.0
6,10.999989,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9966666666666667,1.0,0.0,0.3376436371621668,0.2637773924835961,evidence,0.0,0.0,,,0.9687468164110848,0.7997599185469243,0,0,True,observed_motion,1.0,0.2196658403070726,0.43568161525450294,1.0
7,11.999988,tracked,only_tracked_qualified_evidence,,63.0,0.0,0.25221394885858306,False,True,True,0.9966666666666667,1.0,0.0,0.4247919912151135,0.4157134156123858,evidence,0.0,0.5218434492145321,,0.4417868244935994,0.0,0.7935199983286879,0,2,True,observed_motion,1.0,0.2566680507247015,0.5131583114450665,1.0
8,12.999986999999999,baseline,baseline_evidence_retained,59.0,62.0,0.35024271040155663,0.33101223805655067,True,True,True,0.9966666666666667,1.0,0.0,0.2557934542511555,0.1956929162020619,evidence,0.5271599210603464,0.5207819254947035,0.06353179891036682,0.2057720320014486,0.6321016117278777,0.5990645311580398,3,3,True,observed_motion,1.0,0.2907205101557601,0.5748831873253684,1.0
9,13.999986,baseline,baseline_evidence_retained,57.0,53.0,0.546873768563094,0.30951407313749646,True,True,True,0.9966666666666667,1.0,0.0,0.2318739136384898,0.3550512446869361,evidence,0.5686208866141993,0.5591844978691409,0.08498971835208953,0.396530934817526,0.0,0.6525414442349864,3,3,True,observed_motion,1.0,0.31563889670259127,0.6145019151824448,1.0
