profile,case,plan,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
short6,data2,native6s,-5,41,33,41,33,17,24,80.48780487804878,80.48780487804878,10.818181818181818,15.709590885546504,-9.808080808080808,13.882587066822417,51.515151515151516,72.72727272727273,41.46341463414634,58.53658536585366,31.233333333333334,32.66666666666667,-34.233394580107415,14.617232963945801
short6,data2,native6s,-2,41,33,41,33,15,20,80.48780487804878,80.48780487804878,11.434343434343436,15.796901200618038,-10.202020202020202,14.63383676045181,45.45454545454545,60.60606060606061,36.58536585365854,48.78048780487805,30.966666666666665,32.0,-34.20754166985674,13.803501265816335
short6,data2,native6s,-1,41,33,41,33,14,20,80.48780487804878,80.48780487804878,11.651515151515154,15.91388335704656,-10.287878787878789,14.883575791729031,42.42424242424242,60.60606060606061,34.146341463414636,48.78048780487805,31.13333333333333,32.16666666666667,-34.45379928315143,13.878041707393855
short6,data2,native6s,0,41,33,41,33,13,20,80.48780487804878,80.48780487804878,11.843434343434343,16.043580169228584,-10.358585858585858,15.098402767527071,39.39393939393939,60.60606060606061,31.70731707317073,48.78048780487805,31.36666666666667,32.33333333333333,-34.74359081554336,14.026419098371637
short6,data2,native6s,1,41,33,41,33,12,20,80.48780487804878,80.48780487804878,11.994949494949497,16.16963421686065,-10.41919191919192,15.26221563748152,36.36363636363637,60.60606060606061,29.26829268292683,48.78048780487805,31.533333333333328,32.66666666666667,-35.03070187503163,14.19231803664779
short6,data2,native6s,2,41,33,41,33,13,20,80.48780487804878,80.48780487804878,12.1010101010101,16.282077895835673,-10.464646464646464,15.369028473027843,39.39393939393939,60.60606060606061,31.70731707317073,48.78048780487805,31.7,32.83333333333333,-35.29248942255887,14.36319649326595
short6,data2,native6s,5,41,33,41,33,10,20,80.48780487804878,80.48780487804878,12.141414141414142,16.51945083506882,-10.545454545454545,15.347487611496765,30.303030303030305,60.60606060606061,24.390243902439025,48.78048780487805,32.5,33.33333333333333,-35.85438444832248,14.76347535741339
short6,data2,common10s,-5,37,29,37,29,25,27,78.37837837837837,78.37837837837837,3.506896551724137,4.508344753209663,-2.4379310344827587,4.476981272303229,86.20689655172414,93.10344827586206,67.56756756756756,72.97297297297297,9.61999999999999,11.799999999999997,-10.00243812009487,5.126576051129353
short6,data2,common10s,-2,37,29,37,29,20,27,78.37837837837837,78.37837837837837,3.965517241379309,5.191172879231528,-2.6689655172413795,5.005935543752369,68.96551724137932,93.10344827586206,54.054054054054056,72.97297297297297,11.31999999999999,13.5,-11.550367876219884,6.212436841737126
short6,data2,common10s,-1,37,29,37,29,18,27,78.37837837837837,78.37837837837837,4.089655172413793,5.339701657686827,-2.7172413793103454,5.150313999298917,62.06896551724138,93.10344827586206,48.648648648648646,72.97297297297297,11.739999999999988,13.799999999999997,-11.886108116338388,6.451625357717698
short6,data2,common10s,0,37,29,37,29,18,27,78.37837837837837,78.37837837837837,4.1724137931034475,5.447239098213282,-2.758620689655173,5.245061770926631,62.06896551724138,93.10344827586206,48.648648648648646,72.97297297297297,11.95999999999999,14.099999999999994,-12.12782446107272,6.610583081762375
short6,data2,common10s,1,37,29,37,29,18,27,78.37837837837837,78.37837837837837,4.220689655172413,5.518183109283907,-2.8000000000000007,5.298364210694237,62.06896551724138,93.10344827586206,48.648648648648646,72.97297297297297,12.099999999999984,14.200000000000003,-12.284832101835013,6.684832101835012
short6,data2,common10s,2,37,29,37,29,18,27,78.37837837837837,78.37837837837837,4.2172413793103445,5.541971515251776,-2.8379310344827595,5.289431390791752,62.06896551724138,93.10344827586206,48.648648648648646,72.97297297297297,12.019999999999987,14.200000000000003,-12.333087665538184,6.657225596572665
short6,data2,common10s,5,37,29,37,29,17,27,78.37837837837837,78.37837837837837,4.048275862068965,5.398211708998862,-2.9448275862068973,5.076417943060672,58.62068965517241,93.10344827586206,45.945945945945944,72.97297297297297,11.039999999999988,13.599999999999994,-11.969282392549726,6.07962722013593
