window_index,time_s,proposal_bpm,proposal_supported,reacquired,generated,contributing_rois,channels,score,window_start_s,window_end_s
42,44.999955,102.0,True,False,True,2,"[""tracked/left_cheek/chrom"", ""baseline/right_cheek/pos""]",0.24469075837459814,41.999958,47.999952
43,45.999953999999995,102.0,True,False,True,2,"[""tracked/forehead/pos"", ""tracked/left_cheek/chrom""]",0.27557984670731644,42.999956999999995,48.999950999999996
44,46.999953,99.0,True,False,True,2,"[""tracked/forehead/pos"", ""tracked/left_cheek/chrom""]",0.452792503678042,43.999956,49.99995
45,47.999952,97.0,True,False,True,3,"[""baseline/forehead/chrom"", ""tracked/left_cheek/chrom"", ""tracked/right_cheek/chrom""]",-0.09085593448631239,44.999955,50.999949
46,48.999950999999996,96.0,True,False,True,2,"[""tracked/forehead/pos"", ""tracked/right_cheek/chrom""]",-0.04783884925020357,45.999953999999995,51.999947999999996
47,49.99995,63.0,True,True,True,3,"[""tracked/forehead/pos"", ""tracked/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.18662698071030634,46.999953,52.999947
48,50.999949,62.0,True,False,True,2,"[""tracked/forehead/pos"", ""baseline/right_cheek/chrom""]",0.208574051829449,47.999952,53.999945999999994
49,51.999947999999996,62.0,True,False,True,2,"[""tracked/forehead/chrom"", ""baseline/right_cheek/chrom""]",0.19490557397110192,48.999950999999996,54.999945
50,52.999947,61.0,True,False,True,3,"[""tracked/forehead/pos"", ""tracked/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.33550242105714156,49.99995,55.999944
51,53.999945999999994,61.0,True,False,True,2,"[""tracked/forehead/pos"", ""tracked/left_cheek/chrom""]",0.660150935849604,50.999949,56.999942999999995
52,54.999945,61.0,True,False,True,3,"[""tracked/forehead/chrom"", ""tracked/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.05679474728062508,51.999947999999996,57.999942
53,55.999944,59.0,True,False,True,2,"[""tracked/left_cheek/chrom"", ""baseline/right_cheek/chrom""]",0.3710365668273298,52.999947,58.999941
54,56.999942999999995,58.0,True,False,True,2,"[""tracked/left_cheek/chrom"", ""tracked/right_cheek/chrom""]",0.2515562613388652,53.999945999999994,59.999939999999995
55,57.999942,,False,False,False,0,[],,54.999945,60.999939
56,58.999941,,False,False,False,0,[],,55.999944,61.999938
