window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_matching_10s_window_index,V28_10s_accepted_at_same_center,shared_center_both_output,shared_center_new_output,native_only_plan_output
0,2.99997,0.0,5.99994,,False,gap_or_filter_edge,79.83333333333333,True,ok,6,1.0203769999999999,,,-1,False,False,False,False
1,3.99996,0.99999,6.99993,,False,gap_or_filter_edge,79.5,True,ok,6,1.0203769999999999,,,-1,False,False,False,False
2,4.99995,1.99998,7.999919999999999,75.0,True,candidate_only,79.33333333333333,True,ok,6,1.0203769999999999,-4.333333333333329,4.333333333333329,0,False,False,True,False
3,5.99994,2.99997,8.99991,75.0,True,candidate_only,79.16666666666667,True,ok,6,1.0203769999999999,-4.166666666666671,4.166666666666671,1,False,False,True,False
4,6.99993,3.99996,9.9999,75.0,True,candidate_only,79.0,True,ok,6,1.0203769999999999,-4.0,4.0,2,True,True,False,False
5,7.999919999999999,4.99995,10.99989,76.0,True,candidate_only,78.83333333333333,True,ok,6,1.0198132000000006,-2.8333333333333286,2.8333333333333286,3,True,True,False,False
6,8.99991,5.99994,11.99988,75.0,True,candidate_only,78.66666666666667,True,ok,6,1.0198132000000006,-3.6666666666666714,3.6666666666666714,4,True,True,False,False
7,9.9999,6.99993,12.99987,74.0,True,candidate_only,78.33333333333333,True,ok,6,1.0199553000000012,-4.333333333333329,4.333333333333329,5,True,True,False,False
8,10.99989,7.999919999999999,13.99986,74.0,True,candidate_only,78.0,True,ok,6,1.0199553000000012,-4.0,4.0,6,True,True,False,False
9,11.99988,8.99991,14.99985,74.0,True,candidate_only,77.66666666666667,True,ok,6,1.0199553000000012,-3.6666666666666714,3.6666666666666714,7,True,True,False,False
10,12.99987,9.9999,15.99984,74.0,True,candidate_only,77.16666666666667,True,ok,6,1.0231025999999996,-3.1666666666666714,3.1666666666666714,8,True,True,False,False
11,13.99986,10.99989,16.99983,75.0,True,candidate_only,76.83333333333333,True,ok,6,1.0231025999999996,-1.8333333333333286,1.8333333333333286,9,True,True,False,False
12,14.99985,11.99988,17.99982,76.0,True,candidate_only,76.33333333333333,True,ok,6,1.0231025999999996,-0.3333333333333286,0.3333333333333286,10,True,True,False,False
13,15.99984,12.99987,18.99981,78.0,True,candidate_only,76.0,True,ok,6,1.0231025999999996,2.0,2.0,11,True,True,False,False
14,16.99983,13.99986,19.9998,79.0,True,candidate_only,75.5,True,ok,6,1.0231025999999996,3.5,3.5,12,True,True,False,False
15,17.99982,14.99985,20.99979,81.0,True,candidate_only,75.0,True,ok,6,1.0498133000000003,6.0,6.0,13,True,True,False,False
16,18.99981,15.99984,21.99978,82.0,True,candidate_only,74.66666666666667,True,ok,6,1.0498133000000003,7.333333333333329,7.333333333333329,14,True,True,False,False
17,19.9998,16.99983,22.99977,81.0,True,candidate_only,74.33333333333333,True,ok,6,1.0498133000000003,6.666666666666671,6.666666666666671,15,True,True,False,False
18,20.99979,17.99982,23.99976,79.0,True,candidate_only,74.33333333333333,True,ok,6,1.0498133000000003,4.666666666666671,4.666666666666671,16,True,True,False,False
19,21.99978,18.99981,24.99975,78.0,True,candidate_only,74.5,True,ok,6,1.0498133000000003,3.5,3.5,17,True,True,False,False
20,22.99977,19.9998,25.99974,76.0,True,candidate_only,75.0,True,ok,6,1.0497067000000015,1.0,1.0,18,True,True,False,False
21,23.99976,20.99979,26.99973,75.0,True,candidate_only,75.66666666666667,True,ok,6,1.0802468999999988,-0.6666666666666714,0.6666666666666714,19,True,True,False,False
22,24.99975,21.99978,27.99972,75.0,True,candidate_only,76.5,True,ok,6,1.0802468999999988,-1.5,1.5,20,True,True,False,False
