window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_bpm,V28_accepted,common_output,new_output,lost_output
0,4.99995,0.0,9.9999,,False,gap_or_filter_edge,79.5,True,ok,10,1.0203769999999999,,,,False,False,False,False
1,5.99994,0.99999,10.99989,,False,gap_or_filter_edge,79.2,True,ok,10,1.0203769999999999,,,,False,False,False,False
2,6.99993,1.99998,11.99988,74.0,True,candidate_only,79.0,True,ok,10,1.0203769999999999,-5.0,5.0,74.0,True,True,False,False
3,7.999919999999999,2.99997,12.99987,74.0,True,candidate_only,78.7,True,ok,10,1.0203769999999999,-4.700000000000003,4.700000000000003,74.0,True,True,False,False
4,8.99991,3.99996,13.99986,74.0,True,candidate_only,78.4,True,ok,10,1.0203769999999999,-4.400000000000006,4.400000000000006,74.0,True,True,False,False
5,9.9999,4.99995,14.99985,74.0,True,candidate_only,78.2,True,ok,10,1.0199553000000012,-4.200000000000003,4.200000000000003,74.0,True,True,False,False
6,10.99989,5.99994,15.99984,74.0,True,candidate_only,77.9,True,ok,10,1.0231025999999996,-3.9000000000000057,3.9000000000000057,74.0,True,True,False,False
7,11.99988,6.99993,16.99983,74.0,True,candidate_only,77.6,True,ok,10,1.0231025999999996,-3.5999999999999943,3.5999999999999943,74.0,True,True,False,False
8,12.99987,7.999919999999999,17.99982,74.0,True,candidate_only,77.2,True,ok,10,1.0231025999999996,-3.200000000000003,3.200000000000003,74.0,True,True,False,False
9,13.99986,8.99991,18.99981,75.0,True,candidate_only,76.8,True,ok,10,1.0231025999999996,-1.7999999999999972,1.7999999999999972,75.0,True,True,False,False
10,14.99985,9.9999,19.9998,76.0,True,candidate_only,76.3,True,ok,10,1.0231025999999996,-0.29999999999999716,0.29999999999999716,76.0,True,True,False,False
11,15.99984,10.99989,20.99979,77.0,True,candidate_only,75.9,True,ok,10,1.0498133000000003,1.0999999999999943,1.0999999999999943,77.0,True,True,False,False
12,16.99983,11.99988,21.99978,78.0,True,candidate_only,75.5,True,ok,10,1.0498133000000003,2.5,2.5,78.0,True,True,False,False
13,17.99982,12.99987,22.99977,79.0,True,candidate_only,75.2,True,ok,10,1.0498133000000003,3.799999999999997,3.799999999999997,79.0,True,True,False,False
14,18.99981,13.99986,23.99976,79.0,True,candidate_only,75.0,True,ok,10,1.0498133000000003,4.0,4.0,79.0,True,True,False,False
15,19.9998,14.99985,24.99975,79.0,True,candidate_only,74.9,True,ok,10,1.0498133000000003,4.099999999999994,4.099999999999994,79.0,True,True,False,False
16,20.99979,15.99984,25.99974,78.0,True,candidate_only,75.0,True,ok,10,1.0498133000000003,3.0,3.0,78.0,True,True,False,False
17,21.99978,16.99983,26.99973,77.0,True,candidate_only,75.2,True,ok,10,1.0802468999999988,1.7999999999999972,1.7999999999999972,77.0,True,True,False,False
18,22.99977,17.99982,27.99972,76.0,True,candidate_only,75.6,True,ok,10,1.0802468999999988,0.4000000000000057,0.4000000000000057,76.0,True,True,False,False
19,23.99976,18.99981,28.99971,75.0,True,candidate_only,76.0,True,ok,10,1.0802468999999988,-1.0,1.0,75.0,True,True,False,False
20,24.99975,19.9998,29.9997,75.0,True,candidate_only,76.5,True,ok,10,1.0802468999999988,-1.5,1.5,75.0,True,True,False,False
21,25.99974,20.99979,30.99969,75.0,True,candidate_only,76.9,True,ok,10,1.0802468999999988,-1.9000000000000057,1.9000000000000057,75.0,True,True,False,False
22,26.99973,21.99978,31.99968,75.0,True,candidate_only,77.2,True,ok,10,1.0802468999999988,-2.200000000000003,2.200000000000003,75.0,True,True,False,False
23,27.99972,22.99977,32.99967,75.0,True,candidate_only,77.4,True,ok,10,1.0802468999999988,-2.4000000000000057,2.4000000000000057,75.0,True,True,False,False
24,28.99971,23.99976,33.99966,75.0,True,candidate_only,77.5,True,ok,10,1.0802468999999988,-2.5,2.5,75.0,True,True,False,False
25,29.9997,24.99975,34.99965,76.0,True,candidate_only,77.4,True,ok,10,1.0802468999999988,-1.4000000000000057,1.4000000000000057,76.0,True,True,False,False
26,30.99969,25.99974,35.99964,77.0,True,candidate_only,77.3,True,ok,10,1.0208075,-0.29999999999999716,0.29999999999999716,77.0,True,True,False,False
27,31.99968,26.99973,36.99963,78.0,True,candidate_only,77.1,True,ok,10,1.0208075,0.9000000000000057,0.9000000000000057,78.0,True,True,False,False
28,32.99967,27.99972,37.99962,79.0,True,candidate_only,76.8,True,ok,10,1.0512203999999983,2.200000000000003,2.200000000000003,79.0,True,True,False,False
29,33.99966,28.99971,38.99961,79.0,True,candidate_only,76.5,True,ok,10,1.0512203999999983,2.5,2.5,79.0,True,True,False,False
30,34.99965,29.9997,39.9996,79.0,True,candidate_only,76.2,True,ok,10,1.0512203999999983,2.799999999999997,2.799999999999997,79.0,True,True,False,False
31,35.99964,30.99969,40.99959,79.0,True,candidate_only,76.0,True,ok,10,1.0512203999999983,3.0,3.0,79.0,True,True,False,False
32,36.99963,31.99968,41.99958,79.0,True,candidate_only,76.0,True,ok,10,1.0512203999999983,3.0,3.0,79.0,True,True,False,False
33,37.99962,32.99967,42.99957,79.0,True,candidate_only,76.1,True,ok,10,1.0801567999999975,2.9000000000000057,2.9000000000000057,79.0,True,True,False,False
34,38.99961,33.99966,43.99956,79.0,True,candidate_only,76.3,True,ok,10,1.0801567999999975,2.700000000000003,2.700000000000003,79.0,True,True,False,False
35,39.9996,34.99965,44.99955,79.0,True,candidate_only,76.6,True,ok,10,1.0801567999999975,2.4000000000000057,2.4000000000000057,79.0,True,True,False,False
36,40.99959,35.99964,45.99954,78.0,True,candidate_only,76.9,True,ok,10,1.0801567999999975,1.0999999999999943,1.0999999999999943,78.0,True,True,False,False
37,41.99958,36.99963,46.99953,77.0,True,candidate_only,77.2,True,ok,10,1.0801567999999975,-0.20000000000000284,0.20000000000000284,77.0,True,True,False,False
38,42.99957,37.99962,47.99952,76.0,True,candidate_only,77.5,True,ok,10,1.0801567999999975,-1.5,1.5,76.0,True,True,False,False
39,43.99956,38.99961,48.99951,75.0,True,candidate_only,77.8,True,ok,10,1.0801567999999975,-2.799999999999997,2.799999999999997,75.0,True,True,False,False
40,44.99955,39.9996,49.9995,75.0,True,candidate_only,78.1,True,ok,10,1.0801567999999975,-3.0999999999999943,3.0999999999999943,75.0,True,True,False,False
41,45.99954,40.99959,50.99949,75.0,True,candidate_only,78.3,True,ok,10,1.0801567999999975,-3.299999999999997,3.299999999999997,75.0,True,True,False,False
42,46.99953,41.99958,51.99948,75.0,True,candidate_only,78.3,True,ok,10,1.0497214999999969,-3.299999999999997,3.299999999999997,75.0,True,True,False,False
