window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
23,27.999972,22.999976999999998,32.999967,True,68.5,68.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/chrom"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/chrom"", ""baseline/left_cheek_2/chrom"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 68.5, ""left_cheek"": 54.5, ""right_cheek"": 99.5}",False,45.0,
24,28.999971,23.999976,33.999966,True,68.0,68.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""tracked/left_cheek_3/pos"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 59.0, ""left_cheek"": 68.0, ""right_cheek"": 83.0}",False,24.0,
25,29.999969999999998,24.999975,34.999964999999996,True,59.5,59.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""tracked/left_cheek_3/pos"", ""tracked/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""baseline/right_cheek_3/pos""]","{""forehead"": 59.5, ""left_cheek"": 57.5, ""right_cheek"": 84.5}",True,27.0,
26,30.999969,25.999973999999998,35.999964,True,67.0,67.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/chrom"", ""tracked/left_cheek_2/chrom"", ""tracked/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/chrom"", ""baseline/right_cheek_3/pos""]","{""forehead"": 61.5, ""left_cheek"": 67.0, ""right_cheek"": 102.0}",False,40.5,
27,31.999968,26.999972999999997,36.999963,True,68.0,68.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/chrom"", ""tracked/left_cheek_3/pos"", ""tracked/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""tracked/right_cheek_2/chrom"", ""baseline/right_cheek_3/pos""]","{""forehead"": 68.0, ""left_cheek"": 67.0, ""right_cheek"": 120.5}",True,53.5,
28,32.999967,27.999972,37.999962,True,75.0,75.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/pos"", ""baseline/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""tracked/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 75.0, ""left_cheek"": 69.0, ""right_cheek"": 110.5}",True,41.5,
29,33.999966,28.999971,38.999961,True,68.5,68.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""tracked/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 60.5, ""left_cheek"": 68.5, ""right_cheek"": 110.0}",True,49.5,
30,34.999964999999996,29.999969999999998,39.99996,True,59.5,59.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""tracked/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/chrom"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 56.0, ""left_cheek"": 59.5, ""right_cheek"": 118.5}",True,62.5,
31,35.999964,30.999969,40.999959,True,74.0,74.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""tracked/right_cheek_2/pos"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 56.5, ""left_cheek"": 74.0, ""right_cheek"": 98.0}",True,41.5,
32,36.999963,31.999968,41.999958,True,84.5,84.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""baseline/forehead_2/pos"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""tracked/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 55.0, ""left_cheek"": 84.5, ""right_cheek"": 94.0}",False,39.0,
33,37.999962,32.999967,42.999956999999995,True,92.0,92.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/chrom"", ""baseline/forehead_2/pos"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""tracked/left_cheek_2/chrom"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/chrom"", ""baseline/right_cheek_3/pos""]","{""forehead"": 54.5, ""left_cheek"": 92.0, ""right_cheek"": 97.5}",True,43.0,
34,38.999961,33.999966,43.999956,True,76.0,76.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""tracked/forehead_1/chrom"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""tracked/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/chrom"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 51.0, ""left_cheek"": 87.0, ""right_cheek"": 76.0}",False,36.0,
35,39.99996,34.999964999999996,44.999955,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
36,40.999959,35.999964,45.999953999999995,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
