window_index,time_s,window_start_s,window_end_s,accepted,estimated_bpm,local_spectral_bpm,output_status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,reference_frequency_snr_db
0,4.999995,0.0,9.99999,False,,,gap_or_filter_edge,115.9,True,ok,10,1.0200291000000001,,,
1,5.999994,0.999999,10.999989,False,,,gap_or_filter_edge,116.5,True,ok,10,1.0197674,,,
2,6.999993,1.999998,11.999988,False,,,gap_or_filter_edge,116.9,True,ok,10,1.0205307000000001,,,
3,7.999992,2.999997,12.999986999999999,False,,,gap_or_filter_edge,117.1,True,ok,10,1.0205307000000001,,,
4,8.999991,3.999996,13.999986,False,,,gap_or_filter_edge,117.1,True,ok,10,1.0517851,,,
5,9.99999,4.999995,14.999984999999999,False,,,gap_or_filter_edge,116.8,True,ok,10,1.0517851,,,
6,10.999989,5.999994,15.999984,False,,,gap_or_filter_edge,116.2,True,ok,10,1.0517851,,,
7,11.999988,6.999993,16.999983,False,,,gap_or_filter_edge,115.5,True,ok,10,1.0517851,,,
8,12.999986999999999,7.999992,17.999982,False,,,gap_or_filter_edge,114.6,True,ok,10,1.0517851,,,
9,13.999986,8.999991,18.999981,True,189.0,188.0,candidate_only,113.6,True,ok,10,1.0517851,75.4,75.4,-12.77339151492184
10,14.999984999999999,9.99999,19.99998,True,189.0,189.0,candidate_only,112.5,True,ok,10,1.0517851,76.5,76.5,-12.890821147174364
11,15.999984,10.999989,20.999979,True,189.0,189.0,candidate_only,111.5,True,ok,10,1.0517851,77.5,77.5,-14.917434146669745
12,16.999983,11.999988,21.999978,True,189.0,189.0,candidate_only,110.5,True,ok,10,1.0517851,78.5,78.5,-18.810161612761902
13,17.999982,12.999986999999999,22.999976999999998,True,188.0,188.0,candidate_only,109.6,True,ok,10,1.0226290999999996,78.4,78.4,-22.47303299974139
14,18.999981,13.999986,23.999976,True,187.0,186.0,candidate_only,108.7,True,ok,10,1.0226290999999996,78.3,78.3,-22.03286609745451
15,19.99998,14.999984999999999,24.999975,True,186.0,184.0,candidate_only,107.9,True,ok,10,1.0226290999999996,78.1,78.1,-19.70649103065185
16,20.999979,15.999984,25.999973999999998,True,185.0,184.0,candidate_only,107.3,True,ok,10,1.0226290999999996,77.7,77.7,-17.38750285327142
17,21.999978,16.999983,26.999972999999997,True,185.0,184.0,candidate_only,106.7,True,ok,10,1.021193799999999,78.3,78.3,-14.933244523590329
18,22.999976999999998,17.999982,27.999972,True,185.0,185.0,candidate_only,106.4,True,ok,10,1.021193799999999,78.6,78.6,-13.077934288033713
19,23.999976,18.999981,28.999971,True,186.0,186.0,candidate_only,106.3,True,ok,10,1.021193799999999,79.7,79.7,-12.373415214615557
