window_index,time_s,selected_branch,selection_reason,baseline_bpm,tracked_bpm,baseline_score,tracked_score,baseline_generated,tracked_generated,tracking_eligible,minimum_tracked_fraction,second_largest_tracked_fraction,maximum_reset_fraction,baseline_motion_overlap,tracked_motion_overlap,routing_mode,baseline_pulse_support,tracked_pulse_support,baseline_motion_risk,tracked_motion_risk,baseline_ambiguity,tracked_ambiguity,baseline_contributing_roi_count,tracked_contributing_roi_count,motion_available,motion_status,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability
0,4.999995,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.2633333333333333,0.27666666666666667,0.006666666666666667,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_observed_motion,0.3333333333333333,,,0.0
1,5.999994,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.36,0.37666666666666665,0.006666666666666667,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_observed_motion,0.43,,,0.0
2,6.999993,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.44,0.45666666666666667,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.5,,,0.0
3,7.999992,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.5333333333333333,0.5566666666666666,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.59,,,0.0
4,8.999991,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.6333333333333333,0.6566666666666666,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.69,,,0.0
5,9.99999,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.7333333333333333,0.7566666666666667,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.79,,,0.0
6,10.999989,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.8333333333333334,0.8566666666666667,0.0033333333333333335,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.89,,,0.0
7,11.999988,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9,0.9333333333333333,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,False,insufficient_contiguous_motion_support,0.94,,,0.0
8,12.999986999999999,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9666666666666667,0.9866666666666667,0.0,0.0,0.0,evidence,0.0,0.0,,,0.0,0.0,0,0,True,observed_motion,0.94,2.395075515012499,0.9892220691678136,0.5533333333333333
9,13.999986,tracked,only_tracked_qualified_evidence,,189.0,0.0,0.450694156373006,False,True,True,0.9766666666666667,0.99,0.0,0.05819615769191336,0.6111702313724756,evidence,0.0,0.6323403767552794,,0.6383559904674282,0.8362108043758423,0.0,0,2,True,observed_motion,0.96,2.4150490363550747,0.9893977261241802,0.6533333333333333
10,14.999984999999999,tracked,only_tracked_qualified_evidence,,189.0,0.0,0.5041407459667587,False,True,True,0.9833333333333333,0.9866666666666667,0.0,0.06579404840300869,0.7363214872537482,evidence,0.0,0.7527592462474004,,0.733947220088513,0.8379178320241192,0.0,0,2,True,observed_motion,0.9766666666666667,2.4602068324088995,0.9897794280514177,0.7533333333333333
11,15.999984,tracked,disagreement_resolved_tracked_evidence,92.0,189.0,0.3386938526456063,0.4711339500140669,True,True,True,0.98,0.9866666666666667,0.0,0.07272580146177392,0.8440600781880233,evidence,0.5363257767684626,0.760046571744251,0.07127975321965085,0.8447219843593149,0.6951297456168082,0.0,2,2,True,observed_motion,0.98,2.4760608451208808,0.9899085754210721,0.8533333333333334
12,16.999983,tracked,disagreement_resolved_tracked_evidence,92.0,189.0,0.2839333389421155,0.4246814295706048,True,True,True,0.9766666666666667,0.9866666666666667,0.0,0.06345090544069852,0.9378418276054109,evidence,0.470020846721412,0.7380760736203876,0.08037330403930892,0.9435782668265235,0.7464896688451782,0.0,2,2,True,observed_motion,0.99,2.4587470736349384,0.9897674127550945,0.9533333333333334
13,17.999982,none,insufficient_branch_evidence,,,0.0,0.0,False,False,False,0.9733333333333334,0.99,0.0,0.8761347342809073,0.0009022189463697297,evidence,0.0,0.0,,,0.0,0.9065915239118432,0,0,True,observed_motion,1.0,2.4376306556963243,0.9895912148889962,1.0
14,18.999981,tracked,only_tracked_qualified_evidence,,187.0,0.0,0.398558071951279,False,True,True,0.9733333333333334,0.99,0.0,0.7758012575391092,0.9098545250324516,evidence,0.0,0.7104018265645113,,0.9754847122423731,0.0,0.0,0,2,True,observed_motion,1.0,2.460416413748883,0.9897811513870772,1.0
15,19.99998,tracked,only_tracked_qualified_evidence,92.0,184.0,0.0,0.39454357170772286,False,True,True,0.9733333333333334,0.9833333333333333,0.0,0.0771893151589317,0.9039764493942019,evidence,0.0,0.70302225557838,0.08795625569403312,0.9750874612287588,0.6626197524683235,0.0,0,2,True,observed_motion,1.0,2.474190065219417,0.9898934633243163,1.0
16,20.999979,baseline,only_baseline_qualified_evidence,91.0,,0.3530643150584831,0.0,True,False,False,0.9733333333333334,0.98,0.0,0.06818347769976069,0.005641660074755129,evidence,0.49735093278590403,0.0,0.07454822294874808,,0.5309383877530451,0.532123934869102,2,0,True,observed_motion,1.0,2.507531646569408,0.9901578134900965,1.0
17,21.999978,none,insufficient_branch_evidence,91.0,,0.0,0.0,False,False,False,0.9766666666666667,0.98,0.0,0.0671897081338154,0.006577965780408202,evidence,0.0,0.0,0.06880157072500735,,0.42726660859025345,0.5957185583009476,0,0,True,observed_motion,1.0,2.527197691875677,0.9903089178556752,1.0
