case,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
data4,-5,50,46,50,46,41,46,92.0,92.0,2.3413043478260875,2.842342879294872,-0.5369565217391308,3.0101821580133037,89.1304347826087,100.0,82.0,92.0,5.650000000000002,6.099999999999994,-6.068087278755073,4.994174235276811
data4,-2,50,46,50,46,44,46,92.0,92.0,2.6739130434782616,2.9871463771065643,-0.4173913043478262,3.4630593203626483,95.65217391304348,100.0,88.0,92.0,4.925000000000001,5.5,-6.278822467567219,5.444039858871566
data4,-1,50,46,50,46,45,46,92.0,92.0,2.7565217391304353,3.0254715766091023,-0.37391304347826093,3.575443351810553,97.82608695652173,100.0,90.0,92.0,4.6250000000000036,5.200000000000003,-6.323399664126749,5.5755735771702275
data4,0,50,46,50,46,46,46,92.0,92.0,2.78695652173913,3.0390931141578634,-0.3304347826086957,3.618939752926608,100.0,100.0,92.0,92.0,4.3750000000000036,5.0,-6.317174430335315,5.6563048651179235
data4,1,50,46,50,46,46,46,92.0,92.0,2.756521739130435,3.010344484115311,-0.2869565217391305,3.5826310853143415,100.0,100.0,92.0,92.0,4.299999999999997,4.700000000000003,-6.225265415513046,5.651352372034785
data4,2,50,46,50,46,46,46,92.0,92.0,2.6869565217391305,2.9347246371085944,-0.24782608695652186,3.494720343091599,100.0,100.0,92.0,92.0,4.274999999999999,4.400000000000006,-6.0426738615261675,5.547021687613124
data4,5,50,46,50,46,46,46,92.0,92.0,2.163043478260869,2.4053834549230166,-0.18043478260869558,2.815344534702444,100.0,100.0,92.0,92.0,3.5999999999999943,3.799999999999997,-4.933652701812442,4.572783136595052
