window_index,time_s,window_start_s,window_end_s,accepted,estimated_bpm,local_spectral_bpm,output_status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,reference_frequency_snr_db
0,4.99995,0.0,9.9999,False,,,gap_or_filter_edge,79.5,True,ok,10,1.0203769999999999,,,
1,5.99994,0.9999899999999999,10.99989,False,,,gap_or_filter_edge,79.2,True,ok,10,1.0203769999999999,,,
2,6.99993,1.9999799999999999,11.99988,True,74.0,74.0,candidate_only,79.0,True,ok,10,1.0203769999999999,-5.0,5.0,3.695405409202765
3,7.9999199999999995,2.99997,12.99987,True,74.0,74.0,candidate_only,78.7,True,ok,10,1.0203769999999999,-4.700000000000003,4.700000000000003,3.226682358397908
4,8.99991,3.9999599999999997,13.99986,True,74.0,74.0,candidate_only,78.4,True,ok,10,1.0203769999999999,-4.400000000000006,4.400000000000006,3.557604885413527
5,9.9999,4.99995,14.99985,True,74.0,74.0,candidate_only,78.2,True,ok,10,1.0199553000000012,-4.200000000000003,4.200000000000003,1.6280783014833367
6,10.99989,5.99994,15.999839999999999,True,74.0,74.0,candidate_only,77.9,True,ok,10,1.0231025999999996,-3.9000000000000057,3.9000000000000057,0.16967680764994555
7,11.99988,6.99993,16.99983,True,74.0,74.0,candidate_only,77.6,True,ok,10,1.0231025999999996,-3.5999999999999943,3.5999999999999943,-0.45298515187390315
8,12.99987,7.9999199999999995,17.99982,True,74.0,74.0,candidate_only,77.2,True,ok,10,1.0231025999999996,-3.200000000000003,3.200000000000003,-0.11121540802302465
9,13.99986,8.99991,18.99981,True,74.0,74.0,candidate_only,76.8,True,ok,10,1.0231025999999996,-2.799999999999997,2.799999999999997,2.641033105146071
10,14.99985,9.9999,19.9998,True,75.0,74.0,candidate_only,76.3,True,ok,10,1.0231025999999996,-1.2999999999999972,1.2999999999999972,3.559137387173405
11,15.999839999999999,10.99989,20.99979,True,77.0,79.0,candidate_only,75.9,True,ok,10,1.0498133000000003,1.0999999999999943,1.0999999999999943,3.745571917052588
12,16.99983,11.99988,21.99978,True,79.0,79.0,candidate_only,75.5,True,ok,10,1.0498133000000003,3.5,3.5,0.9131030283363156
13,17.99982,12.99987,22.999769999999998,True,79.0,79.0,candidate_only,75.2,True,ok,10,1.0498133000000003,3.799999999999997,3.799999999999997,-1.3002522976506854
14,18.99981,13.99986,23.99976,True,79.0,80.0,candidate_only,75.0,True,ok,10,1.0498133000000003,4.0,4.0,-2.504425491986722
15,19.9998,14.99985,24.99975,True,79.0,79.0,candidate_only,74.9,True,ok,10,1.0498133000000003,4.099999999999994,4.099999999999994,-1.542724465476858
16,20.99979,15.999839999999999,25.99974,True,79.0,79.0,candidate_only,75.0,True,ok,10,1.0498133000000003,4.0,4.0,0.9468126060303619
17,21.99978,16.99983,26.99973,True,78.0,79.0,candidate_only,75.2,True,ok,10,1.0802468999999988,2.799999999999997,2.799999999999997,3.421778249834628
