window_index,time_s,proposal_bpm,proposal_supported,reacquired,generated,contributing_rois,channels,score,window_start_s,window_end_s
47,49.99995,,False,False,False,0,[],,46.999953,52.999947
48,50.999949,,False,False,False,0,[],,47.999952,53.999945999999994
49,51.999947999999996,,False,False,False,0,[],,48.999950999999996,54.999945
50,52.999947,,False,False,False,0,[],,49.99995,55.999944
51,53.999945999999994,,False,False,False,0,[],,50.999949,56.999942999999995
52,54.999945,,False,False,False,0,[],,51.999947999999996,57.999942
53,55.999944,,False,False,False,0,[],,52.999947,58.999941
54,56.999942999999995,95.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""tracked/right_cheek/pos""]",0.2277131282275059,53.999945999999994,59.999939999999995
55,57.999942,95.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]",0.49612670338358994,54.999945,60.999939
56,58.999941,96.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.5636715858853244,55.999944,61.999938
57,59.999939999999995,96.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",1.3501385008118632,56.999942999999995,62.999936999999996
58,60.999939,96.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.712462321401169,57.999942,63.999936
59,61.999938,96.0,True,False,True,3,"[""tracked/forehead/chrom"", ""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.5738532280766093,58.999941,64.999935
60,62.999936999999996,96.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/chrom"", ""tracked/right_cheek/pos""]",0.4570476619972717,59.999939999999995,65.999934
61,63.999936,96.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.36024585922679525,60.999939,66.999933
62,64.999935,97.0,True,False,True,2,"[""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.4284153312539035,61.999938,67.999932
63,65.999934,96.0,True,False,True,3,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.2514275595082867,62.999936999999996,68.99993099999999
64,66.999933,96.0,True,False,True,3,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/chrom""]",0.3359171942284272,63.999936,69.99992999999999
65,67.999932,,False,False,False,0,[],,64.999935,70.999929
