window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_bpm,V28_accepted,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,,False,gap_or_filter_edge,101.3,True,ok,10,1.0194565999999998,,,,False,False,False,False
1,5.999994,0.999999,10.999989,,False,gap_or_filter_edge,101.4,True,ok,10,1.0200028000000003,,,,False,False,False,False
2,6.999993,1.999998,11.999988,,False,gap_or_filter_edge,101.4,True,ok,10,1.0200028000000003,,,,False,False,False,False
3,7.999992,2.999997,12.999987,,False,gap_or_filter_edge,101.3,True,ok,10,1.0200028000000003,,,,False,False,False,False
4,8.999991,3.999996,13.999986,,False,gap_or_filter_edge,101.2,True,ok,10,1.0801450999999993,,,92.0,True,False,False,True
5,9.99999,4.999995,14.999985,,False,gap_or_filter_edge,101.2,True,ok,10,1.0801450999999993,,,92.0,True,False,False,True
6,10.999989,5.999994,15.999984,94.0,True,candidate_only,101.3,True,ok,10,1.0801450999999993,-7.299999999999997,7.299999999999997,93.0,True,True,False,False
7,11.999988,6.999993,16.999983,94.0,True,candidate_only,101.4,True,ok,10,1.0801450999999993,-7.400000000000006,7.400000000000006,94.0,True,True,False,False
8,12.999987,7.999992,17.999982,94.0,True,candidate_only,101.5,True,ok,10,1.0801450999999993,-7.5,7.5,94.0,True,True,False,False
9,13.999986,8.999991,18.999981,94.0,True,candidate_only,101.7,True,ok,10,1.0801450999999993,-7.700000000000003,7.700000000000003,94.0,True,True,False,False
10,14.999985,9.99999,19.99998,94.0,True,candidate_only,101.9,True,ok,10,1.0801450999999993,-7.900000000000006,7.900000000000006,94.0,True,True,False,False
11,15.999984,10.999989,20.999979,94.0,True,candidate_only,102.2,True,ok,10,1.0801450999999993,-8.200000000000003,8.200000000000003,94.0,True,True,False,False
12,16.999983,11.999988,21.999978,93.0,True,candidate_only,102.6,True,ok,10,1.0801450999999993,-9.599999999999994,9.599999999999994,93.0,True,True,False,False
13,17.999982,12.999987,22.999977,93.0,True,candidate_only,103.0,True,ok,10,1.049805899999999,-10.0,10.0,93.0,True,True,False,False
14,18.999981,13.999986,23.999976,92.0,True,candidate_only,103.4,True,ok,10,1.049805899999999,-11.400000000000006,11.400000000000006,92.0,True,True,False,False
15,19.99998,14.999985,24.999975,92.0,True,candidate_only,103.7,True,ok,10,1.049805899999999,-11.700000000000003,11.700000000000003,92.0,True,True,False,False
16,20.999979,15.999984,25.999974,91.0,True,candidate_only,103.9,True,ok,10,1.050063999999999,-12.900000000000006,12.900000000000006,92.0,True,True,False,False
17,21.999978,16.999983,26.999973,91.0,True,candidate_only,104.1,True,ok,10,1.050063999999999,-13.099999999999994,13.099999999999994,92.0,True,True,False,False
18,22.999977,17.999982,27.999972,91.0,True,candidate_only,104.3,True,ok,10,1.050063999999999,-13.299999999999997,13.299999999999997,92.0,True,True,False,False
19,23.999976,18.999981,28.999971,91.0,True,candidate_only,104.5,True,ok,10,1.050063999999999,-13.5,13.5,92.0,True,True,False,False
20,24.999975,19.99998,29.99997,90.0,True,candidate_only,104.7,True,ok,10,1.050063999999999,-14.700000000000003,14.700000000000003,93.0,True,True,False,False
21,25.999974,20.999979,30.999969,89.0,True,candidate_only,104.9,True,ok,10,1.050063999999999,-15.900000000000006,15.900000000000006,94.0,True,True,False,False
22,26.999973,21.999978,31.999968,89.0,True,candidate_only,105.1,True,ok,10,1.050063999999999,-16.099999999999994,16.099999999999994,94.0,True,True,False,False
23,27.999972,22.999977,32.999967,90.0,True,candidate_only,105.4,True,ok,10,1.050063999999999,-15.400000000000006,15.400000000000006,94.0,True,True,False,False
24,28.999971,23.999976,33.999966,91.0,True,candidate_only,105.8,True,ok,10,1.050063999999999,-14.799999999999997,14.799999999999997,94.0,True,True,False,False
25,29.99997,24.999975,34.999965,92.0,True,candidate_only,106.3,True,ok,10,1.049768799999999,-14.299999999999997,14.299999999999997,94.0,True,True,False,False
26,30.999969,25.999974,35.999964,93.0,True,candidate_only,106.9,True,ok,10,1.049768799999999,-13.900000000000006,13.900000000000006,94.0,True,True,False,False
27,31.999968,26.999973,36.999963,94.0,True,candidate_only,107.5,True,ok,10,1.049768799999999,-13.5,13.5,94.0,True,True,False,False
28,32.999967,27.999972,37.999962,95.0,True,candidate_only,108.3,True,ok,10,1.049768799999999,-13.299999999999997,13.299999999999997,95.0,True,True,False,False
29,33.999966,28.999971,38.999961,95.0,True,candidate_only,109.1,True,ok,10,1.049768799999999,-14.099999999999994,14.099999999999994,95.0,True,True,False,False
