variant,case,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,V25_MAE_bpm,delta_MAE_bpm,delta_P5_pp,delta_R5_pp,delta_hr_coverage_pp,waveform_coverage_pct,delta_waveform_coverage_pp,common_windows,new_windows,lost_windows,common_MAE_bpm,common_V25_MAE_bpm,new_MAE_bpm,lost_V25_MAE_bpm,mean_HR_bpm,target_P5_95_met,primary_hr_source,primary_hr_interpretation,mean_patch_observed_pct,at_least_two_regions_observed_pct,face_detection_pct
early_psd_cluster,data1,42,17,42,17,0,8,40.476190476190474,40.476190476190474,46.94117647058824,59.39143332957352,39.01176470588236,45.41112576231324,0.0,47.05882352941177,0.0,19.047619047619047,83.64,84.2,-51.46221750479975,129.48574691656447,13.097297297297297,33.843879173290944,0.0,0.0,-47.61904761904763,79.09967845659163,-9.646302250803862,16,1,21,44.6125,10.218750000000002,84.2,15.290476190476191,142.2941176470588,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,89.05680600214362,97.36334405144694,90.16077170418006
early_psd_cluster,data2,37,13,37,13,10,11,35.13513513513514,35.13513513513514,7.230769230769231,13.397301680103062,0.7846153846153837,9.056915082388322,76.92307692307692,84.61538461538461,27.027027027027028,29.72972972972973,27.139999999999958,44.3,-26.49940668522784,28.06863745445861,3.0151515151515142,4.215617715617716,-10.955710955710956,-51.35135135135134,-54.054054054054056,81.83776022972002,-8.614501076812642,13,0,20,7.230769230769231,2.715384615384614,,3.2099999999999995,79.88461538461539,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,100.0,100.0,100.0
early_psd_cluster,data3,65,21,65,21,2,3,32.30769230769231,32.30769230769231,33.32380952380953,38.26668325866572,-33.32380952380953,31.97421380899551,9.523809523809524,14.285714285714286,3.076923076923077,4.615384615384615,61.7,63.400000000000006,-71.10434900822311,4.456729960604051,32.87118644067797,0.45262308313156296,-9.120258272800646,-13.846153846153847,-58.46153846153847,83.74606033318325,-8.104457451598378,21,0,38,33.32380952380953,41.25238095238095,,28.23947368421053,69.88095238095238,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,100.0,100.0,100.0
early_psd_cluster,data4,50,46,50,46,41,46,92.0,92.0,2.943478260869565,3.4238930296171444,0.16956521739130428,3.831783611700811,89.1304347826087,100.0,82.0,92.0,5.799999999999997,7.0,-6.607094534096859,6.946224968879468,2.556521739130435,0.38695652173912976,-8.695652173913032,-8.0,0.0,92.58393341438324,0.0,46,0,0,2.943478260869565,2.556521739130435,,,77.1086956521739,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,100.0,100.0,100.0
early_psd_cluster,data5,53,48,53,48,1,1,90.56603773584905,90.56603773584905,82.02291666666666,83.87693738448013,81.37708333333332,84.84671495939985,2.0833333333333335,2.0833333333333335,1.8867924528301887,1.8867924528301887,96.22999999999999,96.8,41.11825738949975,121.63590927716689,60.72244897959183,21.30046768707483,-14.243197278911564,-13.20754716981132,-1.8867924528301927,93.2475884244373,0.0,48,0,1,82.02291666666666,61.897916666666674,,4.299999999999997,178.83333333333334,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,100.0,100.0,100.0
early_psd_cluster,data6,62,29,62,29,0,0,46.774193548387096,46.774193548387096,73.22068965517241,73.48317658742926,73.22068965517241,64.94845974404826,0.0,0.0,0.0,0.0,81.52,82.0,60.84268396654929,85.59869534379553,26.002777777777776,47.21791187739463,0.0,0.0,-11.29032258064516,71.22905027932961,-4.189944134078216,28,1,8,73.66785714285713,24.24285714285714,60.69999999999999,32.162499999999994,186.81034482758622,False,patch_psd_cluster,Hierarchical spatial aggregation from the saved independent patch BVPs. Not claimed to be the heart rate of the single displayed fused waveform.,80.92799503414028,90.54934823091247,89.10614525139665
