window_index,time_s,window_start_s,window_end_s,accepted,estimated_bpm,local_spectral_bpm,output_status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,reference_frequency_snr_db
0,4.999995,0.0,9.99999,False,,,gap_or_filter_edge,89.8,True,ok,10,1.0211648000000002,,,
1,5.999994,0.999999,10.999989,False,,,gap_or_filter_edge,89.3,True,ok,10,1.0211648000000002,,,
2,6.999993,1.999998,11.999988,True,181.0,182.0,candidate_only,88.7,True,ok,10,1.049013500000001,92.3,92.3,-10.093530552280344
3,7.999992,2.999997,12.999986999999999,True,181.0,181.0,candidate_only,88.1,True,ok,10,1.049013500000001,92.9,92.9,-11.391217456752013
4,8.999991,3.999996,13.999986,True,181.0,181.0,candidate_only,87.5,True,ok,10,1.049013500000001,93.5,93.5,-14.29428008998132
5,9.99999,4.999995,14.999984999999999,True,181.0,181.0,candidate_only,86.9,True,ok,10,1.049013500000001,94.1,94.1,-18.70944306163816
6,10.999989,5.999994,15.999984,True,182.0,182.0,candidate_only,86.5,True,ok,10,1.049013500000001,95.5,95.5,-21.117171794772688
7,11.999988,6.999993,16.999983,True,182.0,182.0,candidate_only,86.2,True,ok,10,1.049013500000001,95.8,95.8,-20.835297122690836
8,12.999986999999999,7.999992,17.999982,True,183.0,183.0,candidate_only,86.2,True,ok,10,1.049013500000001,96.8,96.8,-21.407499427855917
9,13.999986,8.999991,18.999981,True,183.0,183.0,candidate_only,86.5,True,ok,10,1.049013500000001,96.5,96.5,-21.539307584070784
10,14.999984999999999,9.99999,19.99998,True,183.0,183.0,candidate_only,86.9,True,ok,10,1.049013500000001,96.1,96.1,-18.10560501471946
11,15.999984,10.999989,20.999979,True,183.0,183.0,candidate_only,87.5,True,ok,10,1.021127700000001,95.5,95.5,-14.263340860012143
12,16.999983,11.999988,21.999978,True,182.0,182.0,candidate_only,88.3,True,ok,10,1.021127700000001,93.7,93.7,-12.26249884518091
13,17.999982,12.999986999999999,22.999976999999998,True,182.0,182.0,candidate_only,89.2,True,ok,10,1.021127700000001,92.8,92.8,-12.442523711700563
14,18.999981,13.999986,23.999976,True,182.0,181.0,candidate_only,90.2,True,ok,10,1.021127700000001,91.8,91.8,-13.873308322684162
15,19.99998,14.999984999999999,24.999975,True,182.0,182.0,candidate_only,91.3,True,ok,10,1.021127700000001,90.7,90.7,-13.36525345529721
16,20.999979,15.999984,25.999973999999998,True,182.0,182.0,candidate_only,92.5,True,ok,10,1.021127700000001,89.5,89.5,-10.0440155579015
17,21.999978,16.999983,26.999972999999997,True,183.0,183.0,candidate_only,93.7,True,ok,10,1.021127700000001,89.3,89.3,-7.162138470528046
18,22.999976999999998,17.999982,27.999972,True,183.0,183.0,candidate_only,94.7,True,ok,10,1.079999400000002,88.3,88.3,-5.875355994320699
19,23.999976,18.999981,28.999971,True,183.0,183.0,candidate_only,95.6,True,ok,10,1.079999400000002,87.4,87.4,-5.942133903842249
20,24.999975,19.99998,29.999969999999998,True,183.0,183.0,candidate_only,96.4,True,ok,10,1.079999400000002,86.6,86.6,-6.669778144691072
21,25.999973999999998,20.999979,30.999969,True,183.0,183.0,candidate_only,97.1,True,ok,10,1.079999400000002,85.9,85.9,-7.9699055783022965
22,26.999972999999997,21.999978,31.999968,True,184.0,184.0,candidate_only,97.7,True,ok,10,1.079999400000002,86.3,86.3,-9.586221725427372
23,27.999972,22.999976999999998,32.999967,True,185.0,185.0,candidate_only,98.2,True,ok,10,1.079999400000002,86.8,86.8,-11.045763435500655
24,28.999971,23.999976,33.999966,True,185.0,185.0,candidate_only,98.6,True,ok,10,1.079999400000002,86.4,86.4,-12.92266450586858
25,29.999969999999998,24.999975,34.999964999999996,True,185.0,185.0,candidate_only,99.0,True,ok,10,1.079999400000002,86.0,86.0,-14.720814044043797
26,30.999969,25.999973999999998,35.999964,True,186.0,186.0,candidate_only,99.2,True,ok,10,1.079999400000002,86.8,86.8,-13.986951168822339
27,31.999968,26.999972999999997,36.999963,True,186.0,186.0,candidate_only,99.4,True,ok,10,1.020752200000004,86.6,86.6,-11.92744927304464
28,32.999967,27.999972,37.999962,True,186.0,186.0,candidate_only,99.6,True,ok,10,1.020752200000004,86.4,86.4,-10.339438362919767
29,33.999966,28.999971,38.999961,True,186.0,186.0,candidate_only,99.9,True,ok,10,1.020752200000004,86.1,86.1,-9.786763583011858
30,34.999964999999996,29.999969999999998,39.99996,True,185.0,185.0,candidate_only,100.2,True,ok,10,1.020752200000004,84.8,84.8,-10.360269284574251
31,35.999964,30.999969,40.999959,True,185.0,185.0,candidate_only,100.6,True,ok,10,1.0211814999999973,84.4,84.4,-11.836947580213334
32,36.999963,31.999968,41.999958,True,184.0,184.0,candidate_only,101.0,True,ok,10,1.0211814999999973,83.0,83.0,-12.070140858708374
33,37.999962,32.999967,42.999956999999995,True,184.0,184.0,candidate_only,101.5,True,ok,10,1.0211814999999973,82.5,82.5,-10.30765690113501
34,38.999961,33.999966,43.999956,True,184.0,184.0,candidate_only,102.0,True,ok,10,1.0211814999999973,82.0,82.0,-9.171760278900958
35,39.99996,34.999964999999996,44.999955,True,184.0,184.0,candidate_only,102.4,True,ok,10,1.0494968,81.6,81.6,-9.071364741791456
36,40.999959,35.999964,45.999953999999995,True,184.0,184.0,candidate_only,102.8,True,ok,10,1.0494968,81.2,81.2,-9.573008592201353
37,41.999958,36.999963,46.999953,True,184.0,184.0,candidate_only,103.2,True,ok,10,1.0494968,80.8,80.8,-10.025175985826884
38,42.999956999999995,37.999962,47.999952,True,184.0,184.0,candidate_only,103.6,True,ok,10,1.0494968,80.4,80.4,-9.635159499311856
39,43.999956,38.999961,48.999950999999996,True,184.0,184.0,candidate_only,103.9,True,ok,10,1.0494968,80.1,80.1,-9.241022735013946
40,44.999955,39.99996,49.99995,True,184.0,184.0,candidate_only,104.2,True,ok,10,1.0494968,79.8,79.8,-9.629690430094056
41,45.999953999999995,40.999959,50.999949,True,184.0,184.0,candidate_only,104.4,True,ok,10,1.0494968,79.6,79.6,-10.904186194388103
42,46.999953,41.999958,51.999947999999996,True,185.0,185.0,candidate_only,104.7,True,ok,10,1.0494968,80.3,80.3,-13.070443340333572
43,47.999952,42.999956999999995,52.999947,True,185.0,185.0,candidate_only,104.9,True,ok,10,1.0494968,80.1,80.1,-15.684146147888182
44,48.999950999999996,43.999956,53.999945999999994,True,185.0,186.0,candidate_only,105.1,True,ok,10,1.0208439999999968,79.9,79.9,-16.4522685595862
45,49.99995,44.999955,54.999945,True,185.0,186.0,candidate_only,105.4,True,ok,10,1.0208439999999968,79.6,79.6,-14.408731102845662
46,50.999949,45.999953999999995,55.999944,True,185.0,186.0,candidate_only,105.7,True,ok,10,1.0208439999999968,79.3,79.3,-12.414898018393057
47,51.999947999999996,46.999953,56.999942999999995,True,185.0,185.0,candidate_only,105.9,True,ok,10,1.0208439999999968,79.1,79.1,-11.360499323508726
48,52.999947,47.999952,57.999942,True,184.0,184.0,candidate_only,106.2,True,ok,10,1.0208439999999968,77.8,77.8,-10.880161191963023
49,53.999945999999994,48.999950999999996,58.999941,True,184.0,183.0,candidate_only,106.5,True,ok,10,1.0208439999999968,77.5,77.5,-10.673128500960406
50,54.999945,49.99995,59.999939999999995,True,184.0,183.0,candidate_only,106.8,True,ok,10,1.0497956999999971,77.2,77.2,-10.710863897635026
51,55.999944,50.999949,60.999939,False,,,gap_or_filter_edge,107.2,True,ok,10,1.0497956999999971,,,
52,56.999942999999995,51.999947999999996,61.999938,False,,,gap_or_filter_edge,107.5,True,ok,10,1.0497956999999971,,,
