time_s,bpm,snr_db
4.999995,64.16022041022042,-3.8879320560469397
5.999994,63.281313281313295,-2.7929495066779007
6.999993,63.281313281313295,-1.8125177737281006
7.999992,63.281313281313295,-1.940337349801318
8.999991,65.03912753912755,-2.7995206595434547
9.99999,65.03912753912755,-3.685090245841117
10.999989,65.91803466803468,-4.377201027679767
11.999988,66.79694179694181,-5.448097210642395
12.999986999999999,151.1720261720262,-6.122947644141173
13.999986,51.85552060552062,-6.815903449581303
14.999984999999999,52.73442773442775,-7.383832612063934
15.999984,64.16022041022042,-5.736811229634973
16.999983,62.402406152406165,-1.9826847590422156
17.999982,62.402406152406165,-0.4962524833762506
18.999981,63.281313281313295,-0.5004263295039603
19.99998,65.03912753912755,-1.6210322380882336
20.999979,65.91803466803468,-3.0432299773082967
21.999978,65.91803466803468,-4.0968198555680475
22.999976999999998,65.03912753912755,-4.442049519727132
23.999976,64.16022041022042,-2.867224870053115
24.999975,62.402406152406165,-0.399545701565328
25.999973999999998,62.402406152406165,0.5292880075904475
26.999972999999997,63.281313281313295,0.5004810603214512
27.999972,63.281313281313295,0.32087916414899176
28.999971,64.16022041022042,0.23838419632749197
29.999969999999998,63.281313281313295,-0.028639303171342535
30.999969,64.16022041022042,-0.6243354908798294
31.999968,64.16022041022042,-1.3824445542093835
32.999967,65.03912753912755,-1.5232744045482782
33.999966,65.91803466803468,-1.0064630161541683
34.999964999999996,66.79694179694181,-0.4032547116796059
35.999964,66.79694179694181,0.3998973524807614
36.999963,66.79694179694181,1.593426843517434
37.999962,66.79694179694181,2.6408984962146045
38.999961,67.67584892584894,3.0020197811909726
39.99996,67.67584892584894,3.2387270511661734
40.999959,67.67584892584894,3.2661682000085825
41.999958,67.67584892584894,2.492755949738902
42.999956999999995,65.91803466803468,0.797538737755366
